Event Name,Timestamp,Trial Duration,Trial Num,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Grab,1772880156188,7.360574,1,0.01152456,1.085278,0.2326113,1.109986,-0.6890158,0.02464234,0.1554286,-0.7074546,270.0564,-0.9748952,0.03486669,0.2199174,0.1130837,-0.04928317,0.02101389,0.1251332,-0.6207664,-0.7039952,0.3001639,0.1701227,160.4101,-0.6299492,-0.7144092,0.3046042,-0.1704094,-0.397067,-0.3100625,0.5318273,0.2484749,-0.3640072,-0.8934525,-0.08661189,189.9374,0.2494121,-0.3653803,-0.8968226,0.08847544,0.01472175,0.0673887,0.1121868,-0.07704603,0.5763186,-0.6464228,-0.4940227,239.2107,-0.08861478,0.662855,-0.7434856
Release,1772880156383,7.555084,1,0.02998743,1.089908,0.2248176,1.113258,-0.6561377,0.128476,0.2562746,-0.6980693,268.5446,-0.9163548,0.1794281,0.3579103,0.09161238,-0.09318972,-0.005393566,0.1307908,-0.6085791,-0.5943173,0.3239847,0.4140683,131.0787,-0.6685876,-0.6529196,0.355931,-0.1679669,-0.3681861,-0.3265741,0.5200235,-0.01643371,-0.1340665,-0.8599129,-0.4922457,238.9766,-0.01887942,-0.1540187,-0.9878874,0.07001257,0.01009166,0.07518244,0.1032279,-0.008164767,0.5618942,-0.7284608,-0.3918588,226.1404,-0.0088745,0.6107376,-0.7917833
Grab,1772880157509,8.681403,1,0.04256603,1.105797,0.2344723,1.131183,-0.7383478,0.1628975,-0.0872946,-0.6486037,260.8728,-0.9700725,0.2140216,-0.1146913,0.09161238,-0.09318972,-0.005393566,0.1307908,-0.6085791,-0.5943173,0.3239847,0.4140683,131.0787,-0.6685876,-0.6529196,0.355931,-0.1679669,-0.3681861,-0.3265741,0.5200235,-0.01643371,-0.1340665,-0.8599129,-0.4922457,238.9766,-0.01887942,-0.1540187,-0.9878874,0.05743397,-0.00579679,0.06552768,0.08732777,0.08762604,0.4424251,-0.5789165,-0.6792918,265.5767,0.119403,0.6028672,-0.7888563
Release,1772880157716,8.890681,1,0.05011351,1.104754,0.2369313,1.130986,-0.706374,0.29036,-0.07014984,-0.6417211,259.8406,-0.9210313,0.3785964,-0.0914674,0.09683607,-0.08661138,0.009113461,0.1302375,-0.7493371,-0.1976378,0.5143381,0.3672732,136.9049,-0.8056408,-0.2124879,0.5529844,-0.2685167,-0.3281186,-0.3189242,0.5305428,-0.1030532,-0.3053295,-0.9247448,-0.2024866,203.3648,-0.1052331,-0.3117882,-0.9443063,0.04988649,-0.004754066,0.0630687,0.08055386,0.1770674,0.3776817,-0.6427228,-0.6425817,259.9692,0.2310929,0.4929172,-0.8388258
Grab,1772880157772,8.944395,1,0.05021814,1.105465,0.2370941,1.131719,-0.7185966,0.2597261,-0.06070022,-0.6422436,259.9186,-0.9375029,0.3388465,-0.07919134,0.09683607,-0.08661138,0.009113461,0.1302375,-0.7493371,-0.1976378,0.5143381,0.3672732,136.9049,-0.8056408,-0.2124879,0.5529844,-0.2685167,-0.3281186,-0.3189242,0.5305428,-0.1030532,-0.3053295,-0.9247448,-0.2024866,203.3648,-0.1052331,-0.3117882,-0.9443063,0.04978186,-0.005465269,0.06290592,0.08040683,0.1573658,0.4035952,-0.6318731,-0.6427157,259.9892,0.2054102,0.5268146,-0.8247867
Release,1772880157841,9.013599,1,0.05095012,1.106034,0.2377057,1.132436,-0.7318677,0.259089,-0.04698469,-0.6285182,257.8818,-0.940952,0.3331071,-0.06040756,0.08821135,-0.09222271,0.001769381,0.1276299,-0.7157015,-0.2374355,0.5233821,0.3968211,133.2408,-0.7797197,-0.2586737,0.5701976,-0.2648315,-0.3327502,-0.3223957,0.5336642,-0.1027518,-0.3239363,-0.9081582,-0.2444501,208.2987,-0.1059667,-0.3340714,-0.9365721,0.04904988,-0.006033897,0.0622943,0.07951653,0.1683043,0.4215114,-0.6266533,-0.6334885,258.6159,0.2175171,0.5447627,-0.8098888
Grab,1772880158507,9.680842,1,0.05404333,1.110917,0.2426245,1.138387,-0.7332551,0.2244934,-0.1704566,-0.6187763,256.4537,-0.9334086,0.2857724,-0.2169854,0.08821135,-0.09222271,0.001769381,0.1276299,-0.7157015,-0.2374355,0.5233821,0.3968211,133.2408,-0.7797197,-0.2586737,0.5701976,-0.2648315,-0.3327502,-0.3223957,0.5336642,-0.1027518,-0.3239363,-0.9081582,-0.2444501,208.2987,-0.1059667,-0.3340714,-0.9365721,0.04595667,-0.01091707,0.05737554,0.0743179,0.151501,0.3744063,-0.5545859,-0.7275313,273.3596,0.2208229,0.5457226,-0.8083465
Release,1772880159146,10.32035,1,0.1186648,1.123734,0.2531921,1.158001,-0.7331783,0.05125202,-0.6009968,-0.3140472,216.6066,-0.7722484,0.05398317,-0.6330231,0.101296,-0.05679062,0.0373935,0.1220014,-0.8903248,-0.007588564,0.1817785,0.4173975,130.6592,-0.9797527,-0.00835079,0.2000371,-0.3165603,-0.3152327,-0.3633204,0.5758331,0.1713523,-0.6906345,-0.6815125,0.1708888,160.321,0.1739105,-0.7009453,-0.6916871,-0.01866483,-0.02373385,0.04680794,0.05570148,0.1857067,0.2366208,-0.06674664,-0.9513509,324.1093,0.6027296,0.7679765,-0.2166329
Grab,1772880161270,12.44183,1,0.1167782,1.112785,0.2773514,1.152758,-0.7356499,-0.1144081,-0.6655161,-0.05308846,186.0863,-0.7366887,-0.1145697,-0.6664559,0.101296,-0.05679062,0.0373935,0.1220014,-0.8903248,-0.007588564,0.1817785,0.4173975,130.6592,-0.9797527,-0.00835079,0.2000371,-0.3165603,-0.3152327,-0.3633204,0.5758331,0.1713523,-0.6906345,-0.6815125,0.1708888,160.321,0.1739105,-0.7009453,-0.6916871,-0.01677817,-0.01278472,0.02264863,0.03095023,0.1911483,0.279428,0.2431797,-0.9089808,310.7298,0.4585674,0.6703515,0.5833913
On Target,1772880164410,15.59501,1,0.1055556,1.09341,0.2942062,1.137209,-0.5193173,-0.01799458,-0.7305059,-0.4431105,232.605,-0.5792933,-0.02007277,-0.8148721,0.0940658,-0.0655001,0.01227122,0.1152789,-0.8295951,0.3414007,0.4251431,-0.1202964,193.8184,-0.8356636,0.343898,0.428253,-0.2153611,-0.4082046,-0.3648481,0.5883243,0.4548984,-0.5276096,-0.62569,0.3510092,138.9019,0.4858096,-0.5634616,-0.6682068,-0.005555622,0.00658989,0.00579381,0.01038556,-0.009580412,0.02757971,-0.07463696,-0.9967834,350.8062,-0.1195394,0.3441254,-0.9312816
Off Target,1772880164602,15.77666,1,0.1050041,1.092522,0.2966134,1.13693,-0.5001695,-0.06246121,-0.7579594,-0.4140372,228.9174,-0.5494798,-0.06861909,-0.8326846,0.09659998,-0.06406583,0.01060454,0.1163978,-0.8475514,0.3406433,0.3839589,-0.1348868,195.5042,-0.8553686,0.3437852,0.3875002,-0.2142168,-0.4124387,-0.3629133,0.5896614,0.4973641,-0.5321069,-0.5762911,0.3706478,136.4889,0.5355063,-0.5729135,-0.6204862,-0.005004108,0.007477999,0.003386617,0.00961409,-0.03582453,0.01709477,-0.01860928,-0.9990387,354.9747,-0.8171766,0.3899409,-0.4244876
Release,1772880164602,15.77666,1,0.1050041,1.092522,0.2966134,1.13693,-0.5001695,-0.06246121,-0.7579594,-0.4140372,228.9174,-0.5494798,-0.06861909,-0.8326846,0.09659998,-0.06406583,0.01060454,0.1163978,-0.8475514,0.3406433,0.3839589,-0.1348868,195.5042,-0.8553686,0.3437852,0.3875002,-0.2142168,-0.4124387,-0.3629133,0.5896614,0.4973641,-0.5321069,-0.5762911,0.3706478,136.4889,0.5355063,-0.5729135,-0.6204862,-0.005004108,0.007477999,0.003386617,0.00961409,-0.03582453,0.01709477,-0.01860928,-0.9990387,354.9747,-0.8171766,0.3899409,-0.4244876
Grab,1772880169328,20.50035,1,0.09284137,1.118172,0.2654368,1.15299,-0.4840179,-0.02611115,-0.829385,-0.2777864,212.2563,-0.503848,-0.02718091,-0.8633646,0.09659998,-0.06406583,0.01060454,0.1163978,-0.8475514,0.3406433,0.3839589,-0.1348868,195.5042,-0.8553686,0.3437852,0.3875002,-0.2142168,-0.4124387,-0.3629133,0.5896614,0.4973641,-0.5321069,-0.5762911,0.3706478,136.4889,0.5355063,-0.5729135,-0.6204862,0.00715863,-0.01817226,0.03456318,0.03970001,0.05704911,-0.03998007,0.0968327,-0.9928597,346.298,0.4782474,-0.3351562,0.8117565
Release,1772880169481,20.65319,1,0.09680595,1.125917,0.2672228,1.161235,-0.5022602,-0.04807916,-0.8024153,-0.3186738,217.1655,-0.5298861,-0.05072367,-0.8465506,0.111238,-0.05901733,0.03011305,0.1294749,-0.9688658,-0.2025834,0.06034369,0.1289106,165.1867,-0.9770177,-0.2042879,0.06085141,-0.3278088,-0.3045806,-0.365414,0.5777156,0.3748186,-0.5780084,-0.611488,0.3892295,134.1869,0.406907,-0.627492,-0.6638378,0.003194049,-0.02591658,0.03277719,0.04190722,0.02551817,-0.00545894,0.06510371,-0.9975373,351.956,0.3638209,-0.0778299,0.928205
Grab,1772880170119,21.29206,1,0.09471241,1.124431,0.2666587,1.159492,-0.4957817,-0.1199238,-0.8029658,-0.3083259,215.9167,-0.5211728,-0.1260656,-0.8440892,0.111238,-0.05901733,0.03011305,0.1294749,-0.9688658,-0.2025834,0.06034369,0.1289106,165.1867,-0.9770177,-0.2042879,0.06085141,-0.3278088,-0.3045806,-0.365414,0.5777156,0.3748186,-0.5780084,-0.611488,0.3892295,134.1869,0.406907,-0.627492,-0.6638378,0.005287595,-0.02443063,0.03334129,0.04167081,-0.02749391,0.01712156,0.1095355,-0.9934551,346.8824,-0.2407036,0.1498957,0.9589606
