Event Name,Timestamp,Trial Duration,Trial Num,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1772870809227,0,1,-0.1,1.1,0.3,1.144552,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2,0,0,0.2,-0.1186571,-0.9110114,0.09763306,0.3826835,135,-0.1284335,-0.9860716,0.1056773
Trial Start,1772870815217,0,1,-0.1009365,1.09806,0.300139,1.142807,0.04661201,-0.01040585,-0.01026509,0.9988061,5.600043,0.9541847,-0.213016,-0.2101345,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2009365,0.001939535,-0.0001389682,0.2009459,-0.1467206,-0.9092745,0.05774598,0.3851734,134.691,-0.1589874,-0.9852957,0.06257392
Grab,1772870815217,0,1,-0.1009365,1.09806,0.300139,1.142807,0.04661201,-0.01040585,-0.01026509,0.9988061,5.600043,0.9541847,-0.213016,-0.2101345,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2009365,0.001939535,-0.0001389682,0.2009459,-0.1467206,-0.9092745,0.05774598,0.3851734,134.691,-0.1589874,-0.9852957,0.06257392
Release,1772870818077,2.858576,1,-0.03540907,1.149107,0.2571261,1.178055,-0.2163208,-0.3071295,0.00852388,0.9267169,44.14263,-0.5756882,-0.8173548,0.02268435,0.1122251,-0.08719905,-0.00380088,0.142171,0.4667254,0.5804289,0.005658591,0.6672615,96.2879,0.6266254,0.7792837,0.007597222,-0.1618809,0.2423973,0.07385954,0.3006944,0.2694022,0.8914884,-0.1527531,-0.3306623,218.618,0.2854595,0.9446242,-0.1618577,0.1354091,-0.04910696,0.04287395,0.150284,-0.04939976,-0.7066076,0.2478439,0.6609379,97.25711,-0.06582767,-0.9415903,0.3302645
Grab,1772870818841,3.623595,1,-0.03540907,1.149107,0.2571261,1.178055,-0.2163208,-0.3071295,0.00852388,0.9267169,44.14263,-0.5756882,-0.8173548,0.02268435,0.1122251,-0.08719905,-0.00380088,0.142171,0.4667254,0.5804289,0.005658591,0.6672615,96.2879,0.6266254,0.7792837,0.007597222,-0.1618809,0.2423973,0.07385954,0.3006944,0.2694022,0.8914884,-0.1527531,-0.3306623,218.618,0.2854595,0.9446242,-0.1618577,0.1354091,-0.04910696,0.04287395,0.150284,-0.04939976,-0.7066076,0.2478439,0.6609379,97.25711,-0.06582767,-0.9415903,0.3302645
Release,1772870820049,4.831856,1,-0.02523311,1.145491,0.2372532,1.170075,-0.4082792,-0.8778881,-0.1125837,0.2234851,154.1724,-0.4188736,-0.9006684,-0.1155052,0.1146921,-0.06780926,0.02049549,0.1348052,0.07781737,-0.1814844,-0.2104267,0.9574594,33.54447,0.2696675,-0.6289141,-0.7292107,-0.131495,0.2500644,0.07442358,0.2921678,0.003320307,0.8344754,0.08082516,0.5450755,113.9404,0.003960351,0.9953343,0.09640554,0.1252331,-0.04549074,0.06274679,0.1472749,-0.05855239,0.1855762,0.3326828,0.9227434,45.339,-0.1519204,0.4814972,0.8631809
Grab,1772870820869,5.652484,1,-0.02523311,1.145491,0.2372532,1.170075,-0.4082792,-0.8778881,-0.1125838,0.2234851,154.1724,-0.4188736,-0.9006684,-0.1155052,0.1146921,-0.06780926,0.02049549,0.1348052,0.07781737,-0.1814844,-0.2104267,0.9574594,33.54447,0.2696675,-0.6289141,-0.7292107,-0.131495,0.2500644,0.07442358,0.2921678,0.003320307,0.8344754,0.08082516,0.5450755,113.9404,0.003960351,0.9953343,0.09640554,0.1252331,-0.04549074,0.06274679,0.1472749,-0.05855239,0.1855762,0.3326828,0.9227434,45.33902,-0.1519203,0.481497,0.8631805
Release,1772870823174,7.958188,1,0.09361532,1.114805,0.287562,1.155095,-0.1105571,-0.9538616,0.01551761,0.2787194,147.6324,-0.1151189,-0.9932202,0.0161579,0.1147113,-0.09116165,0.0268473,0.1489628,0.01687881,-0.2796381,-0.574995,0.7686992,79.52557,0.0263892,-0.4372006,-0.8989768,-0.2077927,0.2552386,0.1309586,0.3542241,-0.1296609,0.8068417,-0.2391876,0.5243891,116.7458,-0.1522773,0.9475769,-0.2809085,0.006384678,-0.01480472,0.01243797,0.02036288,-0.06975538,0.1200632,0.008810226,0.9902735,15.9956,-0.50135,0.8629255,0.06332137
Grab,1772870824092,8.875268,1,0.09361532,1.114805,0.287562,1.155095,-0.1105571,-0.9538616,0.01551761,0.2787194,147.6324,-0.1151189,-0.9932202,0.0161579,0.1147113,-0.09116165,0.0268473,0.1489628,0.01687881,-0.2796381,-0.574995,0.7686992,79.52557,0.0263892,-0.4372006,-0.8989768,-0.2077927,0.2552386,0.1309586,0.3542241,-0.1296609,0.8068417,-0.2391876,0.5243891,116.7458,-0.1522773,0.9475769,-0.2809085,0.006384678,-0.01480472,0.01243797,0.02036288,-0.06975538,0.1200632,0.008810226,0.9902735,15.9956,-0.50135,0.8629255,0.06332137
On Target,1772870824802,9.596841,1,0.1023667,1.095256,0.2995785,1.140093,-0.06843374,-0.9267623,0.04418933,0.3667096,136.9743,-0.07355812,-0.9961591,0.04749827,0.1178052,-0.08113419,0.01770971,0.1441335,0.1618565,-0.2335122,-0.5341395,0.7962222,74.45834,0.2675294,-0.3859676,-0.8828686,-0.2152425,0.24503,0.1475191,0.3579538,-0.1113282,0.8345282,-0.3059822,0.4444591,127.2225,-0.1242781,0.9316017,-0.3415745,-0.002366699,0.004743576,0.0004214644,0.005317933,-0.06754989,0.02201797,-0.02873052,0.9970592,8.790593,-0.881424,0.2873012,-0.3748899
