Event Name,Timestamp,Trial Duration,Trial Num,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Grab,1772873874471,6.311268,1,0.03359045,1.082888,0.2498344,1.111842,0.3836522,-0.9218845,0.004692224,-0.05401979,186.1932,0.3842132,-0.9232325,0.004699085,0.1221593,-0.08868276,0.04596711,0.1577989,0.5685261,-0.02909729,-0.7670097,0.2960197,145.5626,0.595202,-0.03046256,-0.8029987,-0.2379805,-0.3783619,-0.3743169,0.5830142,0.7247357,0.2071715,0.6424824,0.1380389,164.1312,0.7317408,0.2091739,0.6486924,0.06640954,0.01711166,0.05016561,0.08496837,0.6030516,0.651665,0.3667295,-0.277797,212.2575,0.6277604,0.6783656,0.3817554
Release,1772873874638,6.478653,1,0.03317116,1.075791,0.2545048,1.105983,0.259137,-0.9332862,-0.07862362,-0.2358881,207.288,0.2666622,-0.9603882,-0.0809068,0.1129641,-0.08188533,0.03066595,0.1428513,-0.02547414,-0.2907972,-0.8888692,0.3531283,138.6424,-0.02722833,-0.3108219,-0.9500781,-0.2445565,-0.3706478,-0.3687205,0.577185,0.9029862,0.03760066,0.4190413,0.08721577,169.9931,0.9064402,0.03774448,0.4206441,0.06682885,0.02420902,0.04549521,0.08439186,0.6532872,0.4709695,0.5066628,-0.3077277,215.8447,0.6866051,0.4949891,0.5325028
Grab,1772873875541,7.381886,1,0.02965131,1.07212,0.2539034,1.102174,0.01683951,-0.9116583,-0.07551014,-0.4036012,227.607,0.01840514,-0.9964187,-0.08253061,0.1129641,-0.08188533,0.03066595,0.1428513,-0.02547414,-0.2907972,-0.8888692,0.3531283,138.6424,-0.02722833,-0.3108219,-0.9500781,-0.2445565,-0.3706478,-0.3687205,0.577185,0.9029862,0.03760066,0.4190413,0.08721577,169.9931,0.9064402,0.03774448,0.4206441,0.07034869,0.02788007,0.04609665,0.08860665,0.69313,0.2027557,0.5528865,-0.4156652,229.1224,0.7620853,0.2229266,0.6078898
Release,1772873876319,8.159504,1,0.05259296,1.069489,0.231052,1.095425,-0.1178782,-0.8642378,0.4867685,0.04747956,174.5572,-0.1180113,-0.8652135,0.4873181,0.1184865,-0.07880951,0.02210269,0.1440087,0.5443121,-0.3711237,-0.3920767,0.6420806,100.1057,0.7099996,-0.484093,-0.5114241,-0.2261493,-0.3551759,-0.3916192,0.5750296,0.5495695,0.07498736,0.642083,-0.5292256,243.9063,0.6477097,0.08837833,0.7567439,0.04740704,0.0305115,0.068948,0.08906293,0.5948524,0.34859,-0.09327353,-0.7182867,271.8264,0.8549834,0.5010296,-0.1340623
Grab,1772873877152,8.992217,1,0.05734631,1.065408,0.229593,1.091374,-0.07683159,-0.8977155,0.4227642,-0.09733608,191.1716,-0.07719816,-0.9019986,0.4247812,0.1184865,-0.07880951,0.02210269,0.1440087,0.5443121,-0.3711237,-0.3920767,0.6420806,100.1057,0.7099996,-0.484093,-0.5114241,-0.2261493,-0.3551759,-0.3916192,0.5750296,0.5495695,0.07498736,0.642083,-0.5292256,243.9063,0.6477097,0.08837833,0.7567439,0.04265369,0.03459167,0.07040702,0.08929204,0.6005446,0.3304676,0.07248057,-0.7244888,272.8527,0.8712554,0.4794343,0.105153
Release,1772873877971,9.81114,1,0.07693049,1.061447,0.2024931,1.083324,-0.05841203,-0.5622811,0.8248672,0.004701616,179.4612,-0.05841268,-0.5622874,0.8248764,0.1246263,-0.07063273,0.03578766,0.1476531,0.613071,-0.5886075,-0.1598451,0.5021302,119.7179,0.7089231,-0.6806348,-0.1848364,-0.2027147,-0.3408774,-0.4130929,0.5726573,0.3214341,0.3789533,0.4947563,-0.7129453,270.9501,0.4583928,0.5404201,0.7055653,0.02306951,0.038553,0.09750694,0.1073599,0.1924191,0.335163,-0.2269348,-0.8939471,306.747,0.4293414,0.7478433,-0.5063555
Grab,1772873879151,10.9927,1,0.07846316,1.060345,0.208875,1.083567,0.0878045,-0.5124111,0.8060322,-0.2829089,212.8678,0.09154438,-0.5342363,0.8403637,0.1246263,-0.07063273,0.03578766,0.1476531,0.613071,-0.5886075,-0.1598451,0.5021302,119.7179,0.7089231,-0.6806348,-0.1848364,-0.2027147,-0.3408774,-0.4130929,0.5726573,0.3214341,0.3789533,0.4947563,-0.7129453,270.9501,0.4583928,0.5404201,0.7055653,0.02153684,0.03965485,0.09112498,0.1016863,0.04388246,0.3300222,0.06053101,-0.9410079,320.443,0.1296821,0.9752862,0.1788821
Release,1772873879582,11.42172,1,0.08984443,1.085842,0.2114814,1.109887,0.01915105,-0.4145234,0.7201944,-0.5559888,247.5577,0.02304053,-0.4987109,0.8664621,0.1183992,-0.07821149,0.04505074,0.1488791,0.02309441,-0.9787415,-0.1740166,0.1060665,167.8228,0.02322542,-0.9842938,-0.1750038,-0.2094309,-0.3586995,-0.4309519,0.5985367,0.5910565,0.4552052,-0.0304372,-0.6652173,263.398,0.7916114,0.6096637,-0.04076503,0.01015557,0.01415813,0.08851862,0.09021715,-0.035168,0.1204725,0.2748341,-0.9532659,324.8285,-0.1163992,0.3987406,0.9096473
Grab,1772873880721,12.56058,1,0.08673073,1.079191,0.2282506,1.106469,-0.05277553,-0.3373917,0.6943316,-0.6334708,258.6133,-0.06820601,-0.436038,0.8973398,0.1183992,-0.07821149,0.04505074,0.1488791,0.02309441,-0.9787415,-0.1740166,0.1060665,167.8228,0.02322542,-0.9842938,-0.1750038,-0.2094309,-0.3586995,-0.4309519,0.5985367,0.5910565,0.4552052,-0.0304372,-0.6652173,263.398,0.7916114,0.6096637,-0.04076503,0.01326927,0.0208087,0.07174937,0.07587522,-0.07780799,-0.001554322,0.3074305,-0.9483829,323.0214,-0.2453524,-0.004901252,0.9694223
On Target,1772873882194,14.04712,1,0.09631944,1.094498,0.2825259,1.134471,-0.2661475,-0.3109811,0.8188994,-0.4023185,227.4464,-0.2907127,-0.3396845,0.8944833,0.1144202,-0.08210581,0.02547807,0.143117,0.05470879,-0.8168114,0.3117564,0.4823216,122.3257,0.06245337,-0.9324393,0.3558887,-0.2873714,-0.363225,-0.425757,0.6291134,0.373101,0.307759,-0.001054516,-0.8752595,302.1514,0.7714216,0.6363208,-0.002180312,0.003680557,0.005501628,0.01747409,0.01868577,-0.01599805,-0.08004554,-0.01330292,-0.9965741,350.5119,-0.1934361,-0.9678488,-0.1608486
