Event Name,Timestamp,Trial Duration,Trial Num,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1772943147690,0,1,-0.1,1.1,0.3,1.144552,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2,0,0,0.2,-0.571874,-0.7018963,0.1839976,0.3826834,135,-0.618992,-0.7597271,0.1991576
Trial Start,1772943149697,0,1,-0.09916503,1.107163,0.2992087,1.15116,-0.2309971,-0.0006875304,-0.2321205,0.9448597,38.23122,-0.705388,-0.002099488,-0.7088183,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.199165,-0.00716269,0.0007913411,0.1992954,-0.614993,-0.4876839,0.4244235,0.4514564,126.3257,-0.6892275,-0.5465512,0.4756548
Grab_left,1772943149697,0,1,-0.09916503,1.107163,0.2992087,1.15116,-0.2309971,-0.0006875304,-0.2321205,0.9448597,38.23122,-0.705388,-0.002099488,-0.7088183,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.199165,-0.00716269,0.0007913411,0.1992954,-0.614993,-0.4876839,0.4244235,0.4514564,126.3257,-0.6892275,-0.5465512,0.4756548
Release_left,1772943149725,0.0334909,1,-0.09296198,1.127618,0.2927645,1.168707,-0.4463273,-0.09868533,-0.4097682,0.7893942,75.74213,-0.7270517,-0.160755,-0.6674982,-0.008450608,-0.0506953,-0.1789906,0.1862231,-0.3325147,-0.3690103,-0.6694934,-0.552308,247.051,-0.3988708,-0.4426494,-0.8030965,-0.138149,0.09279461,0.0378684,0.1706751,0.0296844,-0.792991,-0.01935728,0.6082018,105.0808,0.03739614,-0.999003,-0.02438613,0.192962,-0.02761793,0.007235557,0.1950626,-0.5864046,-0.1998487,0.5588981,0.5512016,113.101,-0.7028095,-0.2395198,0.6698427
Grab,1772943150751,1.054191,1,-0.0888376,1.119914,0.2910299,1.160516,-0.3595986,-0.08025022,-0.3812501,0.847878,64.03677,-0.6782432,-0.1513609,-0.7190803,0.122116,-0.06031856,0.03334672,0.1402235,-0.0931313,-0.8667286,-0.102632,-0.4791397,237.2585,-0.1061037,-0.9874563,-0.1169278,-0.2556916,0.1629608,-0.04482549,0.3065024,-0.05513567,-0.7248789,0.09972045,0.679387,94.40849,-0.07513921,-0.9878692,0.1358996,0.1888376,-0.01991391,0.008970082,0.1900965,-0.6296309,-0.2802197,0.5084136,0.5162922,117.8323,-0.7351958,-0.3272017,0.5936549
Release,1772943151181,1.485311,1,-0.03387219,1.107404,0.3016438,1.148251,0.1227995,-0.1591991,-0.5141076,0.8338281,67.01199,0.2224531,-0.2883915,-0.9313136,0.1166533,-0.05398819,0.05311311,0.1390817,-0.2393666,-0.8654234,-0.1974906,-0.3933746,226.3293,-0.260357,-0.9413136,-0.2148088,-0.2935362,0.2072646,-0.0210704,0.359953,0.3782486,-0.4704769,0.2687655,0.750563,82.72168,0.5724108,-0.7119817,0.406728,0.1338722,-0.007404447,-0.001643807,0.1340869,-0.9139805,-0.252928,0.1729285,0.266013,149.1457,-0.9481426,-0.2623818,0.1793921
Grab,1772943152542,2.845301,1,-0.03331264,1.086596,0.2936043,1.126057,0.4132692,-0.1487115,-0.3646434,0.8210533,69.61926,0.7239522,-0.2605083,-0.6387711,0.1323085,-0.07740339,0.01321924,0.1538557,-0.2877414,-0.6802801,0.673884,0.01744408,178.001,-0.2877852,-0.6803836,0.6739866,-0.2772453,0.1112453,-0.002705731,0.2987436,0.4810042,-0.2563954,0.5315946,0.6483085,99.17164,0.6317548,-0.3367518,0.6982006,0.1333126,0.01340413,0.006395727,0.1341374,-0.9109948,-0.3868953,-0.08450152,0.1151521,166.7752,-0.9170954,-0.3894862,-0.0850674
Release,1772943153195,3.49993,1,-0.0539335,1.067366,0.3045886,1.111285,0.7535878,-0.3355706,-0.4870106,0.2869122,146.6536,0.7866615,-0.3502982,-0.5083846,0.1056131,-0.1050398,0.02573659,0.1511617,0.006752393,-0.359681,0.9030687,0.2346297,152.8604,0.006946299,-0.3700099,0.9290019,-0.2709983,0.1021042,-0.00456185,0.2896311,0.8832475,0.1435117,0.2946069,0.3353884,140.8077,0.9375503,0.1523349,0.3127196,0.1539335,0.03263378,-0.004588634,0.1574215,-0.8560383,0.06688502,-0.4816825,-0.1752338,200.1845,-0.8694921,0.06793621,-0.4892528
Grab,1772943153792,4.096606,1,-0.05812407,1.061678,0.308204,1.107036,0.6026129,-0.5293775,-0.504982,0.3187639,142.8236,0.6357788,-0.5585127,-0.5327746,0.1257591,-0.06300994,0.0219769,0.1423678,0.1714708,-0.2554913,0.9456007,-0.1056467,192.1288,0.1724358,-0.2569291,0.9509224,-0.06349774,0.3416094,-0.3979665,0.5283051,0.7139181,-0.3918248,0.4153282,0.4053354,132.1757,0.7809485,-0.4286135,0.4543236,0.1581241,0.03832173,-0.008204013,0.1629082,-0.8647519,0.1567515,-0.473809,0.05601957,173.5773,-0.8661121,0.1569981,-0.4745542
Release,1772943154918,5.222718,1,0.01605844,1.04627,0.2395464,1.073462,0.1648424,-0.7352306,-0.4572023,0.4724714,123.6103,0.1870348,-0.8342133,-0.5187545,0.1421312,-0.06224506,0.03521637,0.1591098,0.2178638,-0.3630839,0.8560975,-0.2963151,214.4728,0.2281081,-0.3801567,0.8963525,0.05932897,0.1056556,-0.5263646,0.5401321,0.407034,-0.590757,0.6513147,0.2472221,151.3736,0.4200736,-0.6096822,0.6721799,0.08394156,0.05373013,0.06045359,0.1165665,-0.7894658,0.1808661,-0.2742642,0.5184693,117.5407,-0.9232479,0.2115155,-0.3207408
