Event Name,Timestamp,Trial Duration,Trial Num,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1772942982259,0,1,-0.1,1.1,0.3,1.144552,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2,0,0,0.2,0.4814642,-0.6279621,0.4768745,0.3826834,135,0.5211331,-0.6797012,0.5161653
Trial Start,1772942984100,0,1,-0.1004855,1.029831,0.303788,1.078395,-0.1365228,-0.1276904,-0.3209781,0.9284557,43.60931,-0.3675469,-0.3437681,-0.8641376,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2004855,0.07016897,-0.003788024,0.212444,0.2368089,-0.6236051,0.7127993,0.2166922,154.9704,0.2425724,-0.6387826,0.7301476
Grab_left,1772942984100,0,1,-0.1004855,1.029831,0.303788,1.078395,-0.1365228,-0.1276904,-0.3209781,0.9284557,43.60931,-0.3675469,-0.3437681,-0.8641376,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2004855,0.07016897,-0.003788024,0.212444,0.2368089,-0.6236051,0.7127993,0.2166922,154.9704,0.2425724,-0.6387826,0.7301476
Trial Reset,1772942984112,0,1,-0.1,1.1,0.3,1.144552,0,0,0,1,0,1,0,0,0.1028684,-0.07404837,0.08194655,0.1509314,0.128266,0.9749733,-0.05443784,0.1732378,160.0478,0.1302351,0.9899413,-0.05527358,-0.1753299,0.05143196,-0.1081592,0.2123304,-0.5481324,-0.06665836,0.2491048,0.7956471,74.56715,-0.9048668,-0.1100408,0.4112267,0.2,0,0,0.2,0.4814642,-0.6279621,0.4768745,0.3826834,135,0.5211331,-0.6797012,0.5161653
Release_left,1772942984119,0,1,-0.1,1.1,0.3,1.144552,0,0,0,1,0,1,0,0,0.1028684,-0.07404837,0.08194655,0.1509314,0.128266,0.9749733,-0.05443784,0.1732378,160.0478,0.1302351,0.9899413,-0.05527358,-0.1753299,0.05143196,-0.1081592,0.2123304,-0.5481324,-0.06665836,0.2491048,0.7956471,74.56715,-0.9048668,-0.1100408,0.4112267,0.2,0,0,0.2,0.4814642,-0.6279621,0.4768745,0.3826834,135,0.5211331,-0.6797012,0.5161653
Grab,1772942985367,1.230695,1,-0.1013251,1.098734,0.2999686,1.143444,0.03523815,-0.01858453,0.001336493,0.9992052,4.568953,0.8840309,-0.4662361,0.03352902,0.1269173,-0.07374633,0.02672542,0.1492004,0.6316867,0.7327862,-0.153488,0.2010913,156.7984,0.6448596,0.7480673,-0.1566888,-0.2440297,0.1814246,-0.06837,0.3116726,-0.1803944,-0.3076163,0.632902,0.6872156,93.17979,-0.248322,-0.4234494,0.8712216,0.2013251,0.001265883,3.144145E-05,0.2013291,0.4595733,-0.6365117,0.4628036,0.4116529,131.3826,0.5042827,-0.6984344,0.5078272
Release,1772942985929,1.822341,1,-0.03023046,1.083379,0.2890433,1.121682,0.559425,-0.6515102,-0.2239569,0.460892,125.1106,0.6303691,-0.7341323,-0.2523582,0.1116216,-0.0711802,0.04571372,0.1400562,0.5157135,0.6064675,-0.5670338,0.2114461,155.5858,0.5276437,0.6204972,-0.5801513,-0.2328538,0.2567916,-0.06956269,0.3535559,0.7692646,-0.2622941,0.4710717,0.3428198,139.9025,0.8188882,-0.2792141,0.5014595,0.1302305,0.01662111,0.01095673,0.1317433,-0.4435047,-0.4147032,0.2678734,0.7480432,83.15768,-0.6682811,-0.6248825,0.4036366
Grab,1772942986695,2.586453,1,-0.02781995,1.079157,0.284412,1.116353,0.427558,-0.6685351,-0.3683215,0.4843494,122.0603,0.4887078,-0.7641495,-0.4209992,0.1211552,-0.06764065,0.02969137,0.1418993,0.2873439,0.5888251,-0.6503779,0.3843528,134.7929,0.3112524,0.6378183,-0.7044926,-0.2254783,0.2614147,-0.07146306,0.3525409,0.7285964,-0.4253142,0.3380692,0.4170906,130.6979,0.8016553,-0.4679619,0.3719685,0.12782,0.02084255,0.01558805,0.1304429,-0.4805217,-0.4295409,0.4253099,0.6353779,101.104,-0.6222751,-0.556255,0.5507759
Release,1772942987442,3.334628,1,0.04884323,1.077836,0.2485132,1.107192,0.0578722,-0.6556448,-0.1654577,0.7344416,85.47989,0.08527273,-0.9660704,-0.2437962,0.1338605,-0.09051113,0.03983914,0.1664273,0.3512189,0.5074393,-0.5907645,0.5197579,117.368,0.4111123,0.593973,-0.6915076,-0.1975837,0.3416123,-0.08838616,0.4044137,0.3417335,-0.6923769,0.5004956,0.3915827,133.894,0.3713918,-0.7524666,0.5439324,0.05115677,0.02216399,0.05148683,0.07588908,-0.08510075,-0.3175568,0.6928824,0.6417395,100.1567,-0.1109639,-0.4140663,0.9034579
Grab,1772942988165,4.057178,1,0.05794821,1.08246,0.2451935,1.111395,0.2870272,-0.7432624,-0.03495297,0.6032867,105.7887,0.3598976,-0.9319619,-0.04382683,0.1182287,-0.06812797,0.03913259,0.1419535,0.4346501,0.1154486,-0.8617858,0.2346828,152.8542,0.4471378,0.1187655,-0.8865454,-0.2022483,0.3431625,-0.1088274,0.4129265,0.508512,-0.5439552,0.6087479,0.2737782,148.2216,0.5287125,-0.5655637,0.6329303,0.04205179,0.01753974,0.05480656,0.0712724,-0.1957716,-0.2481115,0.4786801,0.8191335,70.00372,-0.3413015,-0.432549,0.8345143
Release,1772942988583,4.474337,1,0.06575622,1.086739,0.2279623,1.112337,0.4790233,-0.7365203,0.3765982,0.2936808,145.8431,0.5011209,-0.7704964,0.3939709,0.1268719,-0.08349059,0.03863216,0.156715,0.5127195,-0.07541559,-0.8247897,0.2261708,153.8565,0.5263587,-0.07742177,-0.8467305,-0.192937,0.35605,-0.137441,0.4276521,0.6178828,-0.1652484,0.753045,-0.1543925,197.7631,0.6253814,-0.1672539,0.762184,0.03424378,0.01326072,0.07203768,0.08085735,-0.1566558,0.05031828,0.04973074,0.9851162,19.79539,-0.9113757,0.2927364,0.2893183
Grab,1772942991430,7.32428,1,0.06056197,1.08804,0.2263554,1.112985,0.446633,-0.760497,0.3994012,0.2502837,151.0114,0.4613155,-0.7854974,0.412531,0.1167597,-0.07942795,0.03171263,0.1447318,0.4435324,-0.2482344,-0.7985613,0.3224262,142.3806,0.4685558,-0.2622394,-0.8436148,-0.2661582,0.3330242,-0.04121741,0.4283039,0.8933316,-0.03210086,0.4368449,0.1004729,168.4672,0.8978751,-0.03226412,0.4390666,0.03943804,0.01196051,0.07364458,0.08439156,-0.1622692,0.1131704,0.05219327,0.9788448,23.61268,-0.7930881,0.5531186,0.2550938
Release,1772942991833,7.726367,1,0.08105695,1.085078,0.2159257,1.109319,0.3839065,-0.7639139,0.498198,0.1443961,163.3954,0.3879724,-0.7720045,0.5034744,0.1198888,-0.09006484,0.04912093,0.1577906,0.353707,-0.4382072,-0.7171434,0.4105745,131.5181,0.3879101,-0.4805814,-0.7864905,-0.2666251,0.3467877,-0.07891925,0.4444985,0.8604098,-0.1171492,0.4916683,-0.0650631,187.461,0.8622369,-0.117398,0.4927123,0.01894306,0.01492214,0.08407435,0.08746431,-0.1288347,0.2584512,0.004925207,0.9573821,33.57518,-0.4460658,0.8948385,0.0170526
Grab,1772942992555,8.448178,1,0.08166576,1.085883,0.2177399,1.110505,0.418617,-0.7281947,0.5375744,0.07420363,171.4891,0.4197742,-0.7302077,0.5390605,0.1264123,-0.0683119,0.007415725,0.1438804,0.1501362,-0.5269172,-0.736559,0.3966084,133.2673,0.1635492,-0.5739915,-0.8023625,-0.2648722,0.3547457,-0.1286134,0.4610241,0.8731359,-0.04318918,0.4716094,-0.1155556,193.2713,0.8790244,-0.04348046,0.47479,0.01833424,0.014117,0.08226009,0.08545265,-0.1341525,0.2912661,-0.08261089,0.9435797,38.67663,-0.4051166,0.8795714,-0.2494701
Release,1772942993625,9.517291,1,0.09004007,1.088162,0.2818337,1.127668,0.309624,-0.874518,0.3698154,-0.05086909,185.8317,0.3100255,-0.8756518,0.3702949,0.1331498,-0.06260569,0.02329632,0.1489666,-0.2206771,-0.5503946,-0.6192862,0.5146379,118.0535,-0.257377,-0.6419287,-0.7222773,-0.290306,0.4064887,-0.1012111,0.509661,0.8892307,-0.2801091,0.3482493,-0.09762356,191.2047,0.8934984,-0.2814534,0.3499206,0.009959929,0.01183784,0.01816627,0.02386102,-0.3277849,0.3970085,0.0608366,0.8551258,62.45272,-0.6322762,0.7658041,0.1173499
Grab,1772942994583,10.47576,1,0.08989355,1.087754,0.2750526,1.125586,0.2860177,-0.8373845,0.3487526,0.3087922,144.0271,0.3007138,-0.8804106,0.3666721,0.1210289,-0.07253217,0.03505129,0.1453874,0.402321,-0.3915506,-0.7840959,0.2646123,149.3122,0.4171918,-0.4060233,-0.813078,-0.2951373,0.4049851,-0.1415983,0.5207389,0.7643358,-0.2218829,0.5894188,0.138364,164.0936,0.7717589,-0.2240378,0.5951431,0.01010645,0.01224577,0.02494743,0.0295715,-0.1411057,0.1580607,0.2373557,0.9480339,37.10451,-0.4434924,0.4967816,0.7460041
Release,1772942995013,10.90619,1,0.09131924,1.098889,0.2730173,1.135973,0.3706782,-0.7567502,0.3876107,0.3737445,136.1065,0.3996394,-0.8158754,0.4178948,0.1148781,-0.08063912,0.05320409,0.150101,0.3963351,-0.4082528,-0.7684178,0.2928861,145.9384,0.4145126,-0.4269769,-0.8036605,-0.3182916,0.3991029,-0.1383012,0.5288855,0.7526798,-0.06532118,0.6302433,0.1788845,159.3904,0.7650195,-0.06639208,0.6405758,0.008680761,0.001110673,0.02698275,0.0283665,-0.07937782,0.06475207,0.1614734,0.9815462,22.0486,-0.4151008,0.3386165,0.844414
On Target,1772942995958,11.86614,1,0.09584226,1.10216,0.2816688,1.141612,0.4074768,-0.6690704,0.4939295,0.3772812,135.6693,0.4399929,-0.7224612,0.5333443,0.1276663,-0.0729885,0.01689593,0.1480253,0.322811,-0.2020699,-0.6971318,0.6074275,105.1925,0.406371,-0.2543759,-0.8775851,-0.3324434,0.399734,-0.1492411,0.5409055,0.7190694,0.05167008,0.6861292,0.09744728,168.8156,0.7225081,0.05191718,0.6894103,0.004157744,-0.002159476,0.01833126,0.0189205,0.01681914,0.06261795,0.05715064,0.996258,9.916396,0.1946009,0.7245026,0.6612447
Grab,1772942995972,11.86614,1,0.09575762,1.101824,0.2822006,1.141413,0.4182545,-0.6625053,0.4923514,0.3791306,135.4403,0.4519994,-0.7159563,0.5320744,0.1278503,-0.07258309,0.01677882,0.1479714,0.3259416,-0.2015596,-0.6977222,0.6052435,105.5073,0.4094536,-0.2532028,-0.8764909,-0.3324454,0.3998012,-0.1492782,0.5409666,0.7185856,0.05755126,0.6861622,0.09748841,168.8109,0.7220249,0.05782672,0.6894463,0.004242383,-0.00182426,0.01779938,0.01838868,0.0157249,0.05304481,0.04870763,0.9972796,8.454418,0.2133293,0.7196237,0.6607841
Trial End,1772942996958,12.86564,1,0.09896978,1.095039,0.2942839,1.138204,0.5029686,-0.6172155,0.4541802,0.399735,132.8768,0.5487145,-0.6733523,0.4954887,0.1234046,-0.07641971,0.01520581,0.1459448,0.326746,-0.211699,-0.7223063,0.5715718,110.2802,0.3982026,-0.2579958,-0.8802686,-0.3179957,0.4094825,-0.1661636,0.5444332,0.7281935,0.1640024,0.6388056,0.1864528,158.5083,0.7411911,0.1669298,0.6502078,0.001030222,0.004960775,0.005716145,0.007638387,-0.009146002,-0.03600168,-0.001861827,0.9993082,4.262594,-0.245929,-0.9680578,-0.05006311
Trial Load,1772942996966,12.86564,2,-0.1,1.1,0.3,1.144552,0,0,0,1,0,1,0,0,0.1234046,-0.07641971,0.01520581,0.1459448,0.326746,-0.211699,-0.7223063,0.5715718,110.2802,0.3982026,-0.2579958,-0.8802686,-0.3179957,0.4094825,-0.1661636,0.5444332,0.7281935,0.1640024,0.6388056,0.1864528,158.5083,0.7411911,0.1669298,0.6502078,0.2,0,0,0.2,-0.02919623,-0.3122854,0.8690103,0.3826834,135,-0.03160177,-0.3380153,0.94061
Release,1772942996985,12.86564,2,-0.1,1.1,0.3,1.144552,0,0,0,1,0,1,0,0,0.2521918,-0.1639238,0.1392922,0.3314725,0.3835005,0.7803539,-0.4541044,0.1943308,157.5887,0.3909536,0.7955196,-0.4629297,-0.313137,0.2566842,-0.03869213,0.4067415,-0.2722318,0.1876267,0.7012255,0.6316397,101.6576,-0.3511482,0.2420172,0.9045013,0.2,0,0,0.2,-0.02919623,-0.3122854,0.8690103,0.3826834,135,-0.03160177,-0.3380153,0.94061
Trial Start,1772943004372,0,2,-0.1028299,1.097211,0.3008235,1.14234,-0.004678641,-0.02918379,-0.1063988,0.9938841,12.67996,-0.04236836,-0.2642796,-0.9635159,0.2521918,-0.1639238,0.1392922,0.3314725,0.3835005,0.7803539,-0.4541044,0.1943308,157.5887,0.3909536,0.7955196,-0.4629297,-0.313137,0.2566842,-0.03869213,0.4067415,-0.2722318,0.1876267,0.7012255,0.6316397,101.6576,-0.3511482,0.2420172,0.9045013,0.2028299,0.002788901,-0.000823468,0.2028507,-0.08581505,-0.2920351,0.9050217,0.2971316,145.4292,-0.08987407,-0.3058482,0.9478288
Grab,1772943004373,0,2,-0.1028299,1.097211,0.3008235,1.14234,-0.004678641,-0.02918379,-0.1063988,0.9938841,12.67996,-0.04236836,-0.2642796,-0.9635159,0.2521918,-0.1639238,0.1392922,0.3314725,0.3835005,0.7803539,-0.4541044,0.1943308,157.5887,0.3909536,0.7955196,-0.4629297,-0.313137,0.2566842,-0.03869213,0.4067415,-0.2722318,0.1876267,0.7012255,0.6316397,101.6576,-0.3511482,0.2420172,0.9045013,0.2028299,0.002788901,-0.000823468,0.2028507,-0.08581505,-0.2920351,0.9050217,0.2971316,145.4292,-0.08987407,-0.3058482,0.9478288
Release,1772943004537,0.1664177,2,-0.114835,1.081212,0.3003013,1.128002,-0.2021832,-0.1161379,-0.490813,0.8394859,65.82825,-0.3720834,-0.2137318,-0.9032568,0.1765959,-0.08566786,0.01180022,0.1966325,0.1749733,0.9229611,-0.0766317,0.334148,140.9585,0.185644,0.9792475,-0.08130506,0.02795084,-0.3667994,-0.4187937,0.5574148,-0.403286,-0.669122,0.6017524,0.1659225,160.8983,-0.4089546,-0.6785271,0.6102105,0.214835,0.01878786,-0.0003012419,0.2156552,-0.2013364,-0.0276859,0.977096,-0.06309312,187.2347,-0.2017383,-0.02774116,0.9790465
Grab,1772943005286,0.9157069,2,-0.114869,1.080474,0.3011446,1.127522,-0.1642838,-0.09216068,-0.5204719,0.8328424,67.21634,-0.2968035,-0.1665022,-0.9403111,0.1197687,-0.05582973,0.02802194,0.1350805,0.05244737,0.9191718,-0.07789174,0.382499,135.0229,0.05676393,0.9948221,-0.08430244,0.02092156,-0.3718058,-0.4208761,0.5619733,-0.3844596,-0.6847099,0.5833825,0.2074325,156.0562,-0.3930078,-0.6999339,0.5963536,0.214869,0.01952624,-0.001144558,0.2157574,-0.2040715,-0.06685598,0.9715372,-0.1000036,191.4788,-0.2050996,-0.06719281,0.9764318
Release,1772943005842,1.470558,2,-0.1037458,1.059931,0.2736426,1.099589,0.8472629,-0.1134041,-0.237057,0.4616158,125.0172,0.9551145,-0.1278398,-0.267233,0.1173794,-0.06619629,0.04030875,0.140658,0.1301151,0.9258654,-0.3289258,-0.1328585,195.2696,0.1312788,0.9341465,-0.3318677,0.04255142,-0.3435773,-0.4163478,0.5414808,-0.1973322,0.3301145,0.6195988,0.6842381,93.64856,-0.2705929,0.4526713,0.8496283,0.2037458,0.04006946,0.02635744,0.2093147,-0.5102897,-0.830117,0.2239679,-0.01867472,182.1401,-0.5103786,-0.8302617,0.224007
