Event Name,Timestamp,Trial Duration,Trial Num,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1772872663902,0,1,-0.1,1.1,0.3,1.144552,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2,0,0,0.2,0.9162549,-0.08670227,-0.08070442,0.3826834,135,0.9917471,-0.09384587,-0.08735384
Trial Start,1772872665499,0,1,-0.08035089,1.044434,0.3103774,1.092535,-0.3116356,0.02203855,0.3685393,0.8755434,57.78129,-0.6450222,0.0456153,0.7628012,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1803509,0.0555656,-0.01037744,0.1890018,0.9516533,0.2281802,-0.2048675,0.01786473,177.9527,0.9518052,0.2282166,-0.2049002
Grab,1772872665499,0,1,-0.08035089,1.044434,0.3103774,1.092535,-0.3116356,0.02203855,0.3685393,0.8755434,57.78129,-0.6450222,0.0456153,0.7628012,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1803509,0.0555656,-0.01037744,0.1890018,0.9516533,0.2281802,-0.2048675,0.01786473,177.9527,0.9518052,0.2282166,-0.2049002
Release,1772872665533,0.0105991,1,-0.07892839,1.041518,0.3101322,1.089574,-0.4193013,-0.05614279,0.4902437,0.7620338,80.71236,-0.6475324,-0.08670203,0.7570896,0.1688307,-0.0815729,-0.0999525,0.2124816,-0.7180905,0.06953788,-0.6581262,0.2153615,155.1265,-0.7353458,0.07120883,-0.6739405,-0.1316289,0.02784383,0.08801758,0.1607748,-0.3649642,-0.7066113,0.4554516,0.4000818,132.8334,-0.3982242,-0.7710062,0.4969578,0.1789284,0.05848193,-0.01013216,0.1885157,0.905713,0.3707636,-0.1613121,-0.1272663,194.6233,0.9131382,0.3738031,-0.1626346
Grab,1772872665535,0.0105991,1,-0.07892839,1.041518,0.3101322,1.089574,-0.4193014,-0.05614279,0.4902438,0.7620338,80.71236,-0.6475323,-0.08670202,0.7570896,0.1688307,-0.0815729,-0.0999525,0.2124816,-0.7180905,0.06953788,-0.6581262,0.2153615,155.1265,-0.7353458,0.07120883,-0.6739405,-0.1316289,0.02784383,0.08801758,0.1607748,-0.3649642,-0.7066113,0.4554516,0.4000818,132.8334,-0.3982242,-0.7710062,0.4969578,0.1789284,0.05848193,-0.01013216,0.1885157,0.905713,0.3707636,-0.1613122,-0.1272664,194.6233,0.9131382,0.3738032,-0.1626346
Release,1772872665535,0.0105991,1,-0.07892839,1.041518,0.3101322,1.089574,-0.4193014,-0.05614279,0.4902438,0.7620338,80.71236,-0.6475323,-0.08670202,0.7570896,0.1688307,-0.0815729,-0.0999525,0.2124816,-0.7180905,0.06953788,-0.6581262,0.2153615,155.1265,-0.7353458,0.07120883,-0.6739405,-0.1316289,0.02784383,0.08801758,0.1607748,-0.3649642,-0.7066113,0.4554516,0.4000818,132.8334,-0.3982242,-0.7710062,0.4969578,0.1789284,0.05848193,-0.01013216,0.1885157,0.905713,0.3707636,-0.1613122,-0.1272664,194.6233,0.9131382,0.3738032,-0.1626346
Grab,1772872670280,4.785349,1,-0.07892839,1.041518,0.3101322,1.089574,-0.4193014,-0.05614279,0.4902438,0.7620338,80.71236,-0.6475323,-0.08670202,0.7570896,0.1688307,-0.0815729,-0.0999525,0.2124816,-0.7180905,0.06953788,-0.6581262,0.2153615,155.1265,-0.7353458,0.07120883,-0.6739405,-0.1316289,0.02784383,0.08801758,0.1607748,-0.3649642,-0.7066113,0.4554516,0.4000818,132.8334,-0.3982242,-0.7710062,0.4969578,0.1789284,0.05848193,-0.01013216,0.1885157,0.905713,0.3707636,-0.1613122,-0.1272664,194.6233,0.9131382,0.3738032,-0.1626346
Release,1772872670559,5.063146,1,-0.0694374,1.044981,0.3136546,1.093246,-0.1072312,-0.2911013,0.3364238,0.889146,54.46775,-0.2343219,-0.6361151,0.7351538,0.1141104,-0.09017707,0.01752086,0.1464925,-0.8323448,-0.3510485,-0.03197619,-0.4277204,230.646,-0.9208259,-0.3883662,-0.03537537,-0.1179026,0.2622533,-0.09617085,0.303194,-0.2864388,-0.2160624,0.8136306,0.4574657,125.5526,-0.322121,-0.2429778,0.9149863,0.1694374,0.05501878,-0.01365462,0.1786688,0.9083818,0.3339046,0.07551839,0.2400986,152.2153,0.935754,0.3439661,0.07779398
Grab,1772872670573,5.07772,1,-0.0694374,1.044981,0.3136546,1.093246,-0.1072312,-0.2911013,0.3364238,0.889146,54.46775,-0.2343219,-0.6361151,0.7351538,0.1141104,-0.09017707,0.01752086,0.1464925,-0.8323448,-0.3510485,-0.03197619,-0.4277204,230.646,-0.9208259,-0.3883662,-0.03537537,-0.1179026,0.2622533,-0.09617085,0.303194,-0.2864388,-0.2160624,0.8136306,0.4574657,125.5526,-0.322121,-0.2429778,0.9149863,0.1694374,0.05501878,-0.01365462,0.1786688,0.9083818,0.3339046,0.07551839,0.2400986,152.2153,0.935754,0.3439661,0.07779398
Release,1772872670614,5.118545,1,-0.0690285,1.046463,0.3137994,1.094678,-0.09945066,-0.2947803,0.3801396,0.8710385,58.84091,-0.2024586,-0.6001046,0.7738765,0.1175214,-0.09882251,0.0137021,0.1541588,-0.8669542,-0.3005344,-0.1493871,-0.3684469,223.2397,-0.932561,-0.3232774,-0.160692,-0.1199409,0.2619555,-0.09895929,0.30463,-0.2836328,-0.1944496,0.8367195,0.426195,129.5473,-0.3135342,-0.2149491,0.9249288,0.1690285,0.05353677,-0.01379934,0.1778405,0.8929004,0.3775651,0.06294668,0.237089,152.5704,0.919106,0.3886462,0.06479409
