Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1772953790443,0,1,1,0.1,1.1,0.3,1.144552,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.2,0,0,0.2,-0.2785253,0.8108618,-0.3442098,0.3826834,135,-0.3014736,0.8776705,-0.37257
Trial Start,1772953794572,0,1,1,0.1198016,1.044883,0.2856117,1.089819,0.4345349,-0.1254324,0.4430463,0.7740518,78.56171,0.6863365,-0.1981172,0.6997799,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.2198016,0.05511725,0.01438826,0.2270631,-0.6979565,0.7018215,-0.118571,-0.07902138,189.0646,-0.7001459,0.704023,-0.1189429
Grab,1772953794572,0,1,1,0.1198016,1.044883,0.2856117,1.089819,0.4345349,-0.1254324,0.4430463,0.7740518,78.56171,0.6863365,-0.1981172,0.6997799,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.2198016,0.05511725,0.01438826,0.2270631,-0.6979565,0.7018215,-0.118571,-0.07902138,189.0646,-0.7001459,0.704023,-0.1189429
Release,1772953795824,1.250907,1,1,-0.05399851,1.096195,0.2664019,1.129393,0.3403282,-0.8439028,0.3711608,-0.1850527,201.3284,0.3463095,-0.8587343,0.3776839,0.1066967,-0.05922936,0.0359465,0.1272181,0.6490706,-0.1645598,-0.6913379,0.2714398,148.5001,0.6743903,-0.1709791,-0.7183064,0.01352987,-0.2311952,-0.4884406,0.5405632,0.6164172,0.4238895,0.5568052,-0.3609927,222.3223,0.6609885,0.4545397,0.5970661,-0.04600149,0.003805399,0.0335981,0.0570916,-0.08917662,0.1866621,-0.03742926,-0.9776523,335.7285,-0.4241882,0.8878995,-0.1780405
Grab,1772953797281,2.71018,1,1,-0.05415182,1.096356,0.2713706,1.130739,0.2734277,-0.8557115,0.3190652,-0.3019809,215.1532,0.2868181,-0.8976178,0.3346906,0.1316642,-0.0767181,0.01755467,0.1533926,-0.1713249,-0.5928447,-0.653311,0.4385975,127.9711,-0.1906398,-0.6596812,-0.7269643,0.019263,-0.2394096,-0.4810337,0.5376629,0.7009506,0.381052,0.4823883,-0.3616202,222.3995,0.7518303,0.4087114,0.5174033,-0.04584818,0.003644347,0.02862942,0.05417547,0.0152995,0.08785062,-0.0347814,-0.9954087,349.015,0.1598433,0.9178299,-0.3633828
On Target,1772953798241,3.682331,1,1,-0.09475628,1.091215,0.2874862,1.132421,0.2669191,-0.8302917,0.2682704,-0.4091467,228.3025,0.2925241,-0.9099399,0.2940051,0.1178204,-0.07439364,0.0159812,0.140255,-0.332533,-0.5470212,-0.6715769,0.373061,136.1909,-0.3584076,-0.5895851,-0.7238326,-0.0001647212,-0.2673648,-0.449781,0.5232465,0.7940614,0.3690781,0.3438363,-0.3391531,219.6506,0.8440894,0.392331,0.365499,-0.005243719,0.00878489,0.01251379,0.01616372,0.08007648,0.003133522,0.02334691,-0.9965104,350.424,0.9593481,0.03754084,0.2797053
Trial End,1772953799227,4.669615,1,1,-0.09725454,1.096262,0.287371,1.137467,0.2743912,-0.8024142,0.3212829,-0.421448,229.8521,0.3025753,-0.8848342,0.3542835,0.1192597,-0.07435503,0.01697395,0.1415615,-0.3206221,-0.5699988,-0.6610658,0.3678248,136.8369,-0.3447939,-0.6129711,-0.7109036,0.002434764,-0.2755733,-0.4468502,0.5249968,0.7640587,0.4183523,0.3293735,-0.3642924,222.7281,0.820435,0.4492206,0.3536765,-0.002745464,0.003738284,0.01262897,0.01345375,0.02806176,-0.02970274,0.02111761,-0.9989417,354.7273,0.6100861,-0.6457626,0.4591146
Trial Load,1772953799232,4.669615,1,2,0.1,1.1,0.3,1.144552,0,0,0,1,0,1,0,0,0.1192597,-0.07435503,0.01697395,0.1415615,-0.3206221,-0.5699988,-0.6610658,0.3678248,136.8369,-0.3447939,-0.6129711,-0.7109036,0.002434764,-0.2755733,-0.4468502,0.5249968,0.7640587,0.4183523,0.3293735,-0.3642924,222.7281,0.820435,0.4492206,0.3536765,-0.2,0,0,0.2,-0.6383558,0.6054918,0.2818421,0.3826835,135,-0.6909513,0.6553797,0.3050637
Release,1772953799240,4.669615,1,2,0.1,1.1,0.3,1.144552,0,0,0,1,0,1,0,0,0.1413747,0.101596,-0.07039539,0.1877873,0.747924,0.61351,-0.2534006,0.001872178,179.7855,0.7479253,0.6135111,-0.253401,-0.04712618,-0.1681366,-0.6052882,0.6299719,-0.6208449,-0.3129574,0.7062935,0.1332627,164.6837,-0.6264322,-0.3157739,0.7126497,-0.2,0,0,0.2,-0.6383558,0.6054918,0.2818421,0.3826835,135,-0.6909513,0.6553797,0.3050637
Trial Start,1772953800462,0,1,2,0.09751795,1.099895,0.3043587,1.145387,0.1949361,0.005735999,0.05412163,0.9793049,23.3536,0.9631673,0.02834122,0.2674117,0.1413747,0.101596,-0.07039539,0.1877873,0.747924,0.61351,-0.2534006,0.001872178,179.7855,0.7479253,0.6135111,-0.253401,-0.04712618,-0.1681366,-0.6052882,0.6299719,-0.6208449,-0.3129574,0.7062935,0.1332627,164.6837,-0.6264322,-0.3157739,0.7126497,-0.197518,0.0001052618,-0.004358679,0.1975661,-0.7308973,0.501276,0.3769917,0.2690521,148.7843,-0.7588804,0.5204678,0.3914252
Grab,1772953800462,0,1,2,0.09751795,1.099895,0.3043587,1.145387,0.1949361,0.005735999,0.05412163,0.9793049,23.3536,0.9631673,0.02834122,0.2674117,0.1413747,0.101596,-0.07039539,0.1877873,0.747924,0.61351,-0.2534006,0.001872178,179.7855,0.7479253,0.6135111,-0.253401,-0.04712618,-0.1681366,-0.6052882,0.6299719,-0.6208449,-0.3129574,0.7062935,0.1332627,164.6837,-0.6264322,-0.3157739,0.7126497,-0.197518,0.0001052618,-0.004358679,0.1975661,-0.7308973,0.501276,0.3769917,0.2690521,148.7843,-0.7588804,0.5204678,0.3914252
