Event Name,Timestamp,Trial Duration,Trial Num,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Grab,1772944235953,5.418087,1,0.01408933,1.027098,0.2747755,1.063311,-0.0003265934,-0.5335714,0.3056435,-0.788596,284.109,-0.0005311226,-0.8677204,0.4970528,0.1185546,-0.04597467,0.02869349,0.130354,-0.1397347,-0.9288682,0.002588613,0.3430328,139.8765,-0.148761,-0.9888694,0.002755827,-0.2138126,0.2373459,-0.005867989,0.3195048,-0.5543616,0.1155338,0.4002874,0.7204896,87.81017,-0.7994072,0.1666035,0.5772274,0.08591067,0.07290161,0.02522454,0.1154624,-0.6544768,-0.3401448,-0.3373686,-0.584931,251.5962,-0.806917,-0.4193711,-0.4159482
Release,1772944236523,5.988995,1,0.01483679,1.022883,0.2445522,1.051815,0.1359033,-0.2883004,0.8777263,-0.3577844,221.9284,0.1455373,-0.3087375,0.9399468,0.1026515,-0.05090828,0.03626025,0.1201823,0.1675565,-0.9265266,0.03449835,0.3350868,140.8444,0.1778378,-0.9833784,0.03661517,-0.220054,0.2180624,-0.04873791,0.3136086,-0.2774165,-0.2073167,-0.1975407,0.917081,46.99399,-0.6958009,-0.5199804,-0.4954608,0.08516321,0.07711709,0.05544777,0.1275707,-0.9459916,-0.02429452,-0.3189633,0.05265266,173.9637,-0.9473056,-0.02432826,-0.3194063
Grab,1772944237134,6.600072,1,0.02589137,1.02702,0.2355359,1.054001,0.3533377,-0.3112152,0.8418233,-0.2638768,210.6005,0.3663215,-0.3226511,0.872757,0.1214893,-0.07576825,0.01334385,0.1438003,0.2545279,-0.9007015,-0.283104,0.2092958,155.8378,0.2602927,-0.9211016,-0.2895161,-0.2441358,0.2040514,-0.09033967,0.3307575,-0.4093044,-0.4041896,-0.2077034,0.7911763,75.40885,-0.6692484,-0.6608853,-0.3396132,0.07410863,0.07297981,0.06446415,0.1223674,-0.9893595,-0.04545441,-0.08921728,0.1055558,167.8816,-0.9949177,-0.04570977,-0.08971851
Release,1772944237244,6.709165,1,0.02454613,1.029888,0.2356762,1.056795,0.2356952,-0.3790165,0.8314116,-0.3309819,218.6568,0.2497731,-0.4016549,0.8810713,0.1103926,-0.08422076,0.01980674,0.1402568,0.2133889,-0.9078361,-0.2811908,0.2263422,153.8364,0.2190743,-0.932024,-0.2886827,-0.2500667,0.1946064,-0.0896211,0.3292977,-0.4310733,-0.2822765,-0.1584141,0.8422595,65.24105,-0.7996573,-0.5236335,-0.2938642,0.07545388,0.07011175,0.06432386,0.1214352,-0.9813905,-0.0229663,-0.1905809,-0.004918076,180.5636,-0.9814025,-0.02296658,-0.1905833
Grab,1772944238231,7.696162,1,0.02374547,1.043253,0.2572838,1.074773,-0.3676262,-0.3737338,0.3672787,-0.768297,280.4024,-0.5743322,-0.5838739,0.5737893,0.132305,-0.06805138,0.01206569,0.1492688,-0.4538225,-0.6883011,0.1934047,0.531866,115.7368,-0.5359083,-0.8127986,0.2283871,-0.2741063,0.1579212,-0.1152286,0.3366764,-0.412414,0.2431017,0.4525587,0.7523344,82.41401,-0.6260255,0.3690172,0.6869633,0.07625453,0.05674684,0.04271621,0.1042096,-0.4875589,-0.2108717,-0.6759058,-0.5108532,241.4413,-0.5671479,-0.2452944,-0.7862405
Release,1772944238578,8.042571,1,0.03255992,1.051844,0.2635737,1.084853,-0.754963,-0.2217128,-0.1225387,-0.6048625,254.4379,-0.9480531,-0.2784182,-0.1538793,0.1248015,-0.07922965,0.02723895,0.1503154,-0.5443616,-0.4168132,0.2752409,0.6739287,95.25798,-0.7368222,-0.5641786,0.3725531,-0.2972718,0.1545462,-0.110287,0.3527297,-0.1115202,0.7135574,0.6044769,0.3361651,140.7132,-0.1184114,0.7576503,0.6418294,0.06744009,0.04815602,0.03642631,0.09052096,0.1472725,-0.08627062,-0.7547743,-0.633391,258.6015,0.1903159,-0.1114849,-0.9753721
Grab,1772944239259,8.724316,1,0.03588597,1.055588,0.2609314,1.087952,-0.7052129,-0.3676675,-0.07280581,-0.6018262,254.0016,-0.8830315,-0.4603745,-0.09116372,0.1125035,-0.07271814,0.02290538,0.135903,-0.7153721,-0.2300184,0.1471449,0.6431817,99.94104,-0.9342555,-0.3003974,0.192167,-0.2978498,0.1239358,-0.1503595,0.355925,-0.2968315,0.7458664,0.4704396,0.3664163,137.0105,-0.319019,0.8016181,0.5056039,0.06411403,0.04441202,0.03906861,0.08723184,0.02643392,-0.03820093,-0.6997415,-0.7128842,270.9401,0.03769371,-0.05447301,-0.9978036
Release,1772944239369,8.834328,1,0.04096771,1.055441,0.2623366,1.088326,-0.6426381,-0.3353989,-0.1461108,-0.6731831,264.6264,-0.8690455,-0.453563,-0.1975871,0.1078862,-0.09680117,0.01913098,0.146205,-0.7844421,-0.2417516,0.1761385,0.5433068,114.1819,-0.9343775,-0.2879591,0.209805,-0.3048673,0.1232986,-0.1565095,0.3642003,-0.3197289,0.7167466,0.5497635,0.2860206,146.7603,-0.3336684,0.7479953,0.5737321,0.05903229,0.04455948,0.03766346,0.08299936,0.05720333,-0.1505796,-0.6614851,-0.7324556,274.1853,0.08402186,-0.2211756,-0.9716079
Grab,1772944239702,9.16838,1,0.03918846,1.054676,0.2658148,1.088363,-0.6292161,-0.2567656,-0.214856,-0.7014239,269.0827,-0.8828076,-0.3602493,-0.3014489,0.1164336,-0.08818093,0.01765039,0.1471197,-0.6797376,-0.4739846,0.4709461,0.3024986,144.7845,-0.7131487,-0.4972823,0.4940944,-0.3035143,0.104891,-0.1793088,0.3677971,-0.285698,0.7047511,0.6072204,0.2301866,153.3839,-0.2935817,0.7241985,0.6239764,0.06081154,0.04532421,0.03418526,0.0831923,0.1334732,-0.2245416,-0.6552944,-0.7087704,270.2699,0.1892057,-0.3183004,-0.9289167
Release,1772944239856,9.320586,1,0.02004547,1.036674,0.2618668,1.069424,-0.5223172,-0.2170177,-0.06400478,-0.8221871,290.6086,-0.9176058,-0.3812563,-0.1124435,0.1122049,-0.09216355,0.02547057,0.1474205,-0.7478105,-0.4395202,0.4249688,0.2588492,149.9964,-0.7741969,-0.4550286,0.4399638,-0.2798783,0.1032129,-0.170997,0.3438383,-0.3279644,0.5689004,0.6788262,0.3286133,141.6307,-0.347249,0.6023523,0.7187418,0.07995453,0.06332648,0.03813323,0.1088904,-0.03588552,-0.3456054,-0.6915213,-0.633299,258.5879,-0.04636927,-0.446572,-0.8935454
