Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1772954202220,0,1,1,0.1,1.1,0.3,1.144552,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.2,0,0,0.2,-0.4388966,0.7915714,0.1853047,0.3826834,135,-0.4750582,0.8567908,0.2005724
Trial Start,1772954205478,0,1,1,0.08306342,1.062884,0.2838836,1.103273,0.626168,-0.2105194,-0.2028223,0.7228128,87.4256,0.906119,-0.3046397,-0.2935014,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.1830634,0.03711605,0.01611638,0.1874821,-0.435326,0.6257064,0.6148179,-0.2024395,203.3593,-0.4445301,0.6389357,0.6278169
Grab,1772954205480,0,1,1,0.08306342,1.062884,0.2838836,1.103273,0.626168,-0.2105194,-0.2028223,0.7228128,87.4256,0.906119,-0.3046397,-0.2935014,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.1830634,0.03711605,0.01611638,0.1874821,-0.435326,0.6257064,0.6148179,-0.2024395,203.3593,-0.4445301,0.6389357,0.6278169
Release,1772954205826,0.3474803,1,1,0.03027661,1.059465,0.2903274,1.098942,0.9516971,-0.2192878,0.2114868,0.03819679,175.6219,0.952392,-0.2194479,0.2116413,0.0995459,-0.05001556,0.03524949,0.1168481,0.3558925,0.3978245,-0.72491,-0.4354099,231.6228,0.3953341,0.4419131,-0.8052476,-0.2956363,0.2304636,-0.0508769,0.3782892,0.6934353,0.5330942,0.4846007,-0.01096733,181.2568,0.693477,0.5331263,0.4846299,-0.1302766,0.04053485,0.009672612,0.1367795,-0.5890051,-0.1550215,0.5832371,-0.5374717,245.0234,-0.6984677,-0.1838312,0.6916278
Grab,1772954206715,1.236917,1,1,-2.323159E-05,1.05123,0.2792255,1.087682,0.7902724,-0.4087652,0.400819,0.2184597,154.7628,0.8098332,-0.4188829,0.4107401,0.1302461,-0.07296573,0.02976959,0.1522309,0.4737705,-0.3340567,-0.792124,-0.1910165,202.0242,0.4826577,-0.3403231,-0.806983,-0.2745206,0.2114894,-0.07799965,0.3552088,0.6202787,0.3509586,0.6975026,-0.07465014,188.5622,0.6220142,0.3519405,0.6994541,-0.09997677,0.04876983,0.02077451,0.1131611,-0.7913284,0.006994759,0.3332462,-0.5125402,241.6664,-0.9215818,0.008146103,0.3880989
Release,1772954207257,1.778382,1,1,-0.02881081,1.084535,0.2668377,1.117251,0.467906,-0.4412356,0.3620284,-0.674767,264.8721,0.6339925,-0.5978553,0.490533,0.1068466,-0.07810327,0.03937394,0.138082,0.09598846,-0.545413,-0.8144341,-0.1732287,199.9512,0.09746192,-0.5537854,-0.826936,-0.2924688,0.1725159,-0.1210762,0.3604985,0.6702425,0.322961,-0.03683688,-0.6671689,263.6979,0.8997673,0.433559,-0.04945168,-0.07118919,0.0154649,0.0331623,0.0800425,-0.2512414,-0.610871,-0.0868556,-0.7457684,276.4503,-0.377123,-0.916941,-0.1303736
Grab,1772954207994,2.515188,1,1,-0.03811438,1.07833,0.2645986,1.110973,0.3294514,-0.3498443,0.4602593,-0.7464799,276.5728,0.4951119,-0.5257592,0.6916949,0.126698,-0.07293913,0.01619383,0.1470875,-0.1431147,-0.9191998,-0.3577874,0.08110605,170.6957,-0.1435878,-0.9222381,-0.35897,-0.2846925,0.1608941,-0.1412698,0.3562217,0.5654992,0.3458238,-0.07304269,-0.7451721,276.3478,0.8479872,0.5185757,-0.1095302,-0.06188562,0.0216701,0.03540137,0.07451631,-0.227604,-0.7200677,-0.207221,-0.6218991,256.9099,-0.2906459,-0.9195124,-0.2646172
Release,1772954209355,3.876804,1,1,-0.05204561,1.081716,0.2558905,1.112789,-0.4568321,-0.31653,-0.1282282,-0.8213834,290.4471,-0.8009309,-0.5549493,-0.2248133,0.1146931,-0.07232115,0.04028023,0.1414474,-0.5255909,-0.711947,-0.03416493,0.464455,124.6501,-0.5934879,-0.8039178,-0.03857843,-0.2833093,0.1379842,-0.1613189,0.3540164,0.2072769,-0.3688297,-0.6817725,-0.5968142,253.2841,0.2583278,-0.4596699,-0.8496884,-0.0479544,0.01828361,0.04410949,0.06767246,0.5781717,-0.3881208,-0.6036747,-0.3881452,225.6783,0.6273577,-0.4211388,-0.6550301
Grab,1772954210216,4.737908,1,1,-0.0635849,1.090225,0.2597851,1.122551,-0.4881984,-0.2575738,-0.3098903,-0.7741357,281.4535,-0.7712215,-0.4068969,-0.4895428,0.1288443,-0.05905157,0.02039356,0.1431917,-0.865831,-0.3547877,0.1792823,0.3038427,144.6229,-0.908797,-0.3723937,0.188179,-0.2931901,0.1181535,-0.1752705,0.3614422,0.1822818,-0.4425912,-0.7841396,-0.3949832,226.5298,0.1984152,-0.4817641,-0.8535423,-0.0364151,0.009775281,0.04021493,0.05512582,0.7241616,-0.2877392,-0.5243533,-0.3432925,220.1552,0.7710174,-0.306357,-0.5582809
Release,1772954211063,5.584997,1,1,-0.09090532,1.096157,0.2735374,1.133422,0.3285336,-0.7473349,0.03286067,-0.5766078,250.4246,0.4021116,-0.9147069,0.0402201,0.1524963,-0.05351134,0.028619,0.1641269,-0.5618935,-0.6612587,-0.08943588,0.4888906,121.4646,-0.6441184,-0.7580242,-0.1025235,-0.2949069,0.08616315,-0.1853283,0.3588046,0.9048756,-0.03220675,-0.09624353,-0.4134009,228.8373,0.9937692,-0.03537069,-0.1056983,-0.009094685,0.003843307,0.02646261,0.02824454,-0.03714949,-0.2457348,-0.1873683,-0.9503303,323.7317,-0.1193583,-0.7895265,-0.6019993
