Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1772953533812,0,1,1,0.1,1.1,0.3,1.144552,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.2,0,0,0.2,-0.1428103,-0.6091362,-0.679788,0.3826834,135,-0.1545767,-0.6593243,-0.7357972
Trial Start,1772953538301,0,1,1,0.09581354,1.086568,0.3070525,1.133178,0.1488098,-0.1799089,0.1782065,0.9558927,34.16111,0.5066453,-0.6125268,0.6067306,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.1958135,0.01343191,-0.007052511,0.1964003,0.03739356,-0.4377113,-0.8343393,0.3329991,141.0982,0.0396569,-0.4642048,-0.8848397
Grab,1772953538302,0,1,1,0.09581354,1.086568,0.3070525,1.133178,0.1488098,-0.1799089,0.1782065,0.9558927,34.16111,0.5066453,-0.6125268,0.6067306,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.1958135,0.01343191,-0.007052511,0.1964003,0.03739356,-0.4377113,-0.8343393,0.3329991,141.0982,0.0396569,-0.4642048,-0.8848397
Release,1772953539330,1.030938,1,1,0.01578812,1.001795,0.3033884,1.046846,0.3889977,-0.6815355,0.03068382,0.6190709,103.5034,0.4953271,-0.8678277,0.039071,0.1447242,-0.05159483,0.02406381,0.1555191,0.5966601,0.3838203,-0.5969263,0.3746438,135.9954,0.643529,0.4139702,-0.6438161,-0.2245932,0.1734532,-0.1121728,0.3051407,0.5756506,-0.08740202,0.6621606,0.4717316,123.7065,0.6528559,-0.09912424,0.7509685,-0.1157881,0.09820485,-0.003388435,0.1518636,0.2447176,0.1437678,-0.766862,0.5756447,109.7104,0.2992756,0.1758198,-0.9378282
Trial Reset,1772953539372,0,1,1,0.1,1.1,0.3,1.144552,0,0,0,1,0,1,0,0,0.149947,-0.04581036,0.0359743,0.1608628,0.5525061,0.4264736,-0.5007336,0.5119796,118.4084,0.6431987,0.4964782,-0.5829279,-0.2172608,0.1756604,-0.1166397,0.3027601,0.4625792,-0.1745617,0.6959245,0.5208049,117.2275,0.5418675,-0.2044825,0.8152094,-0.2,0,0,0.2,-0.1428103,-0.6091362,-0.679788,0.3826834,135,-0.1545767,-0.6593243,-0.7357972
Grab,1772953540289,0.9039413,1,1,0.09654485,1.103592,0.3058188,1.149244,0.1088981,0.005052659,0.0217906,0.9938012,12.7657,0.9795515,0.04544927,0.196009,0.1305876,-0.0749645,0.02570419,0.1527531,0.7265024,0.5522873,-0.3406221,0.2261627,153.8575,0.7458273,0.566978,-0.3496826,-0.3141288,0.2317131,-0.1908887,0.4345186,-0.2576838,0.106536,0.7302802,0.6236504,102.8336,-0.329644,0.136287,0.9342167,-0.1965449,-0.003592253,-0.005818754,0.1966638,-0.1737598,-0.5363781,-0.7495252,0.3468687,139.4082,-0.1852621,-0.5718843,-0.799141
Release,1772953541135,1.753014,1,1,-0.02872937,1.112138,0.2857228,1.148613,0.2667656,-0.3519197,-0.02904351,0.8967414,52.53401,0.6027855,-0.7952002,-0.06562691,0.1421687,-0.07038093,0.02961885,0.1613775,0.5366991,0.5260429,-0.6020452,0.2697674,148.6991,0.5573632,0.5462967,-0.6252252,-0.3030911,0.1093962,-0.1596658,0.3596177,0.1098861,0.01620119,0.7382756,0.6652908,96.59073,0.1471851,0.02170041,0.9888709,-0.07127064,-0.01213753,0.01427719,0.07369302,-0.008611363,-0.2260721,-0.8112339,0.5391816,114.7441,-0.01022497,-0.2684337,-0.963244
Grab,1772953542178,2.793628,1,1,-0.02723752,1.109337,0.2892126,1.146741,0.3089463,-0.3105885,-0.07968938,0.8953975,52.88094,0.6938438,-0.6975321,-0.1789696,0.1320301,-0.06420854,0.02505857,0.1489383,0.1648991,0.5959813,-0.6977202,0.3616644,137.5951,0.1768718,0.6392534,-0.7483792,-0.3033152,0.09313393,-0.1674724,0.3587771,0.07717832,0.04725468,0.7156283,0.6925943,92.32837,0.1069948,0.06551071,0.992099,-0.07276248,-0.009337306,0.01078737,0.07414804,-0.08350793,-0.2051636,-0.8107302,0.5418957,114.3744,-0.09936146,-0.2441128,-0.9646431
Release,1772953543052,3.668389,1,1,-0.0327873,1.090524,0.2635335,1.122393,0.1706417,-0.6226838,-0.5584975,0.5207944,117.2289,0.1998891,-0.7294094,-0.6542219,0.1239609,-0.06579088,0.02818766,0.1431408,-0.1568488,0.5713133,-0.7456275,0.3050238,144.4808,-0.1646975,0.5999017,-0.7829386,-0.2773949,0.07103938,-0.1778191,0.337067,0.3555334,-0.4075705,0.2957878,0.7873957,76.1144,0.5767453,-0.6611597,0.4798261,-0.0672127,0.009476423,0.03646654,0.07705296,-0.05658466,0.1168154,-0.3331717,0.9338892,41.90115,-0.1582511,0.3266994,-0.931786
Grab,1772953543789,4.404832,1,1,-0.03387542,1.090372,0.2633734,1.12224,0.1604055,-0.6080113,-0.5640388,0.5352128,115.2833,0.1898926,-0.7197809,-0.6677249,0.1387452,-0.05894901,0.02219344,0.1523738,-0.3293163,0.6657862,-0.5198303,0.421967,130.0824,-0.3632387,0.7343678,-0.5733773,-0.276942,0.0612025,-0.1838225,0.3379842,0.3529228,-0.4148865,0.2952278,0.7849555,76.56686,0.5696419,-0.6696556,0.4765182,-0.06612457,0.009628415,0.03662664,0.07620155,-0.06807609,0.09625064,-0.3325221,0.935698,41.31763,-0.1929581,0.2728174,-0.9425164
Release,1772953544623,5.244462,1,1,-0.08245528,1.096544,0.285614,1.136126,0.07704656,-0.6586189,-0.6575297,0.3576867,138.0836,0.08250495,-0.7052791,-0.7041126,0.1099988,-0.07276693,0.03130035,0.1355525,-0.266805,0.6715587,-0.6508261,0.232915,153.0625,-0.2743504,0.6905509,-0.669232,-0.2859284,0.02232319,-0.1480509,0.3227576,0.421656,-0.5278164,0.1475079,0.722397,87.49452,0.609789,-0.7633156,0.2133225,-0.01754472,0.003456473,0.014386,0.02295041,-0.03336968,0.1804399,-0.1325148,0.9740471,26.164,-0.1474282,0.7971886,-0.5854543
Grab,1772953544942,5.557107,1,1,-0.08512484,1.100801,0.2922354,1.142108,-0.02583677,-0.6877952,-0.5958913,0.4137438,131.1195,-0.02837979,-0.7554923,-0.6545427,0.111376,-0.07185415,0.03028895,0.1359597,-0.2407568,0.6532114,-0.6730243,0.2497789,151.0712,-0.2486378,0.674594,-0.6950554,-0.2936091,0.02039978,-0.1493143,0.3300261,0.3535936,-0.5987294,0.2370504,0.6784554,94.55388,0.4813144,-0.8149953,0.322675,-0.01487516,-0.0008009672,0.007764578,0.01679883,0.05537636,0.07871737,-0.1357064,0.9860634,19.15368,0.3328503,0.473146,-0.8156898
On Target,1772953545623,6.252174,1,1,-0.09604403,1.098756,0.2898572,1.140398,-0.1212063,-0.6684601,-0.62059,0.3915842,133.8938,-0.1317256,-0.7264746,-0.67445,0.1090833,-0.07439544,0.02892244,0.1351679,-0.243984,0.6747597,-0.6385068,0.2783526,147.6762,-0.2540233,0.7025242,-0.6647795,-0.2884517,0.0005549567,-0.1468015,0.3236593,0.2891844,-0.6670184,0.2362012,0.644723,99.71017,0.3783075,-0.8725854,0.3089955,-0.003955968,0.00124383,0.01014283,0.01095782,0.06684864,0.02351251,-0.0503366,0.9962152,9.972976,0.7690742,0.2705047,-0.5791079
Off Target,1772953546012,6.641349,1,1,-0.09825182,1.095849,0.2932345,1.138651,-0.1867227,-0.6553774,-0.6542888,0.3279043,141.7168,-0.1976506,-0.6937333,-0.692581,0.1060911,-0.07388609,0.02976733,0.1326671,-0.314814,0.6804786,-0.5861678,0.3069989,144.2431,-0.3307878,0.7150064,-0.6159102,-0.2867839,-0.004499139,-0.1437426,0.3208227,0.2676379,-0.7243737,0.1765606,0.6103106,104.7761,0.3378575,-0.914426,0.2228844,-0.001748182,0.004150987,0.006765515,0.00812767,0.07159424,0.017571,0.04762503,0.9961413,10.07002,0.815755,0.2002065,0.5426463
On Target,1772953546456,7.085471,1,1,-0.0993181,1.096127,0.2935261,1.139086,-0.187075,-0.6507102,-0.6598143,0.3259209,141.9573,-0.1978798,-0.6882929,-0.6979229,0.1055744,-0.07417223,0.02958346,0.1323732,-0.3237047,0.682991,-0.5761138,0.3111776,143.7396,-0.3406156,0.7186718,-0.6062111,-0.2866779,-0.009758395,-0.1432589,0.3206284,0.2651073,-0.7273176,0.1758404,0.6081178,105.0929,0.3339528,-0.916194,0.2215042,-0.0006818995,0.003872871,0.006473869,0.007574636,0.0654738,0.01754276,0.05196895,0.9963457,9.79946,0.7665623,0.2053893,0.6084485
