Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1772953285368,0,1,1,0.1,1.1,0.3,1.144552,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.2,0,0,0.2,0.08902182,0.10533,0.9135284,0.3826834,135,0.09635653,0.1140083,0.988796
Trial Start,1772953289229,0,1,1,0.09887856,1.101407,0.2997746,1.145748,0.03223133,-0.03150249,0.005943394,0.9989662,5.210984,0.7090245,-0.6929915,0.1307427,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.1988786,-0.001406789,0.0002254248,0.1988837,0.04719096,0.08836142,0.9165089,0.3872684,134.4307,0.05118509,0.09584011,0.9940799
Grab,1772953289229,0,1,1,0.09887856,1.101407,0.2997746,1.145748,0.03223133,-0.03150249,0.005943394,0.9989662,5.210984,0.7090245,-0.6929915,0.1307427,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.1988786,-0.001406789,0.0002254248,0.1988837,0.04719096,0.08836142,0.9165089,0.3872684,134.4307,0.05118509,0.09584011,0.9940799
Release,1772953290603,1.375017,1,1,-0.04485956,1.08477,0.2502789,1.114172,-0.09748576,-0.2203698,0.01117054,0.9704683,27.91809,-0.4041225,-0.9135326,0.04630695,0.1319375,-0.07243865,0.02432605,0.1524684,0.4585984,0.6623296,-0.3975767,0.4392493,127.888,0.510481,0.7372609,-0.4425558,-0.2444693,0.1536707,-0.1970775,0.349599,-0.1771427,-0.5662229,0.6663328,0.4516778,126.2972,-0.1985501,-0.6346501,0.7468582,-0.05514044,0.0152297,0.04972106,0.07579312,-0.07879166,0.2766017,0.8916252,0.3496968,139.0625,-0.0841016,0.2952425,0.9517137
Grab,1772953293341,4.112085,1,1,-0.05165181,1.083379,0.2548186,1.114141,0.07281031,-0.07637726,0.1096892,0.9883489,17.5095,0.4783689,-0.5018039,0.7206655,0.1322897,-0.06933269,0.01664698,0.1502821,0.6169197,0.6780598,-0.3633724,0.1661496,160.8719,0.6256153,0.6876172,-0.3684942,-0.2614611,0.1965895,-0.1404229,0.3559887,-0.1970297,-0.3312314,0.7492605,0.5385851,114.8253,-0.2338434,-0.3931198,0.8892549,-0.0483482,0.01662064,0.04518145,0.06822871,-0.02120503,0.07658151,0.8753769,0.4768658,123.0382,-0.02412469,0.08712581,0.9959052
Release,1772953293799,4.571079,1,1,-0.04083353,1.073051,0.2565937,1.104059,0.6264217,-0.2094699,0.0493985,0.749185,82.96034,0.9457408,-0.3162474,0.07457944,0.1128621,-0.08201661,0.02514726,0.1417638,0.5413592,0.599493,-0.5868503,-0.05608251,186.43,0.5422125,0.600438,-0.5877753,-0.2647568,0.1994926,-0.1277409,0.3552621,0.3313546,0.0566652,0.7827544,0.5237259,116.835,0.3889655,0.06651729,0.9188479,-0.05916648,0.02694941,0.04340628,0.07817319,-0.3695872,-0.4087842,0.7501261,0.3655294,137.1197,-0.3970641,-0.4391752,0.8058941
Grab,1772953294479,5.251267,1,1,-0.05419865,1.071569,0.2548614,1.102793,0.6767229,-0.201116,0.2696467,0.6548963,98.17643,0.8954692,-0.2661254,0.3568083,0.1208492,-0.09213968,0.0249008,0.1539945,0.7416737,0.316861,-0.5637783,-0.1779708,200.5032,0.753706,0.3220015,-0.5729245,-0.2599681,0.180698,-0.1362134,0.3446582,0.3006952,0.1729112,0.8723547,0.344502,139.6972,0.3203022,0.184186,0.9292372,-0.04580135,0.02843082,0.0451386,0.07031051,-0.4127976,-0.4482572,0.5842599,0.5360075,115.1755,-0.4889732,-0.5309763,0.6920763
Release,1772953294646,5.418102,1,1,-0.06331163,1.076614,0.2585574,1.109035,0.7427437,-0.1210292,0.292063,0.5902398,107.6519,0.9201165,-0.1499319,0.3618098,0.1068097,-0.09456569,0.02661484,0.1451183,0.7286102,0.246519,-0.5761769,-0.2763621,212.0864,0.7581368,0.2565091,-0.5995262,-0.2596367,0.1741638,-0.1460356,0.3450662,0.2847019,0.2934638,0.8486546,0.3355731,140.7852,0.3022268,0.311528,0.9008936,-0.03668837,0.02338588,0.04144257,0.06008679,-0.3730181,-0.5440317,0.5164406,0.5460552,113.8064,-0.4452623,-0.6493968,0.6164621
Grab,1772953295549,6.321289,1,1,-0.0694198,1.079611,0.2647895,1.113774,0.7994656,-0.138971,0.3360327,0.4781463,122.8712,0.9102626,-0.1582308,0.3826031,0.1096229,-0.09279936,0.03007718,0.1467431,0.7338881,0.2221018,-0.5011213,-0.4011939,227.3057,0.8011938,0.2424709,-0.5470797,-0.2650214,0.163306,-0.1586955,0.349413,0.3274915,0.4130792,0.8198117,0.2236599,154.1518,0.3360034,0.4238156,0.8411196,-0.0305802,0.02038944,0.03521055,0.05089853,-0.4257251,-0.5968753,0.4047852,0.5464861,113.7474,-0.5083477,-0.712714,0.483344
Release,1772953295743,6.515136,1,1,-0.07854997,1.069389,0.2525485,1.101609,0.6107554,-0.0635929,-0.06084273,0.7869129,76.20411,0.9897764,-0.1030572,-0.09860034,0.1469495,-0.09163599,0.02682066,0.1752445,0.5002565,0.6167035,-0.5224435,-0.3106012,216.1909,0.5262865,0.6487925,-0.549628,-0.2467905,0.1538175,-0.1612274,0.332505,0.2221716,0.09432624,0.7101437,0.6613913,97.18787,0.2962126,0.1257614,0.9468065,-0.02145003,0.03061116,0.04745153,0.06040525,-0.2153589,-0.4561373,0.8121428,0.2932293,145.8972,-0.2252609,-0.4771101,0.8494843
