Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Grab,1772953339884,9.471793,1,1,-0.0958481,1.088387,0.2661527,1.124549,0.0771509,-0.8331107,-0.05280252,0.5451478,113.9305,0.09202818,-0.9937624,-0.06298462,0.1273741,-0.0843534,0.02734465,0.1552011,0.157651,0.2612934,-0.5545402,0.7741815,78.53823,0.249068,0.4128096,-0.8761013,0.04253599,-0.2709626,-0.4459331,0.5235326,0.3579329,-0.23661,0.8909599,-0.148628,197.0948,0.361953,-0.2392675,0.9009667,-0.004151903,0.01161301,0.03384733,0.03602419,-0.3972017,-0.08636006,-0.408398,0.8173028,70.3686,-0.6893368,-0.1498764,-0.7087678
Release,1772953340481,10.06964,1,1,-0.1052658,1.075987,0.2827588,1.117489,-0.4636553,-0.7855301,-0.0677172,0.4042037,132.3175,-0.5069104,-0.8588135,-0.07403465,0.1201627,-0.08761224,0.03769104,0.1534132,-0.0646902,0.3687867,-0.3956297,0.8386232,66.00997,-0.1187604,0.6770304,-0.7263098,0.02537898,-0.2826644,-0.4238759,0.5101117,0.3498636,-0.5964845,0.590529,-0.4160257,229.1678,0.3847391,-0.6559439,0.6493947,0.005265839,0.02401316,0.01724121,0.03002699,-0.129525,0.05154973,0.03254659,0.9897004,16.46093,-0.9047878,0.3600969,0.2273519
Grab,1772953341605,11.19398,1,1,-0.1123151,1.07128,0.2787126,1.112625,-0.5102426,-0.7964705,0.002376286,0.3244714,142.1329,-0.5394281,-0.8420279,0.002512208,0.1238741,-0.06960487,0.01811495,0.1432403,0.07509515,0.1878912,-0.2489024,0.9471565,37.41926,0.2341074,0.5857466,-0.7759475,0.03235461,-0.2811816,-0.4150201,0.502346,0.3808168,-0.5671623,0.5134136,-0.5193379,242.5757,0.4456244,-0.6636823,0.6007866,0.01231511,0.0287205,0.02128744,0.03781116,-0.01877488,0.08702201,0.03100779,0.9955468,10.8185,-0.1991629,0.9231248,0.328929
Release,1772953341953,11.5411,1,1,-0.1107985,1.072649,0.2747022,1.112795,-0.5011694,-0.7143176,-0.07136196,0.4832052,122.2101,-0.5724333,-0.8158901,-0.08150929,0.1120173,-0.0779235,0.02326052,0.1384233,0.08450129,0.3727488,-0.2845234,0.8791839,56.91184,0.1773439,0.7822927,-0.597133,0.03390714,-0.2804177,-0.4180686,0.5045444,0.2543726,-0.6464199,0.5841205,-0.4198087,229.645,0.2802656,-0.71222,0.643579,0.01079854,0.02735138,0.02529782,0.03879029,-0.151546,-0.03288421,0.103725,0.9824428,21.50474,-0.8122974,-0.1762617,0.5559735
Grab,1772953342884,12.47112,1,1,-0.1077859,1.074924,0.2760047,1.115015,-0.4355645,-0.7739487,-0.1607714,0.430627,128.9853,-0.4826039,-0.8575323,-0.1781341,0.1292547,-0.05828428,0.02597413,0.1441475,0.4117833,0.2769544,-0.06358887,0.8658448,60.04137,0.823052,0.5535628,-0.1270983,0.02743106,-0.2780953,-0.4244419,0.5081736,0.3595072,-0.6384496,0.5881786,-0.3423199,220.0366,0.3826239,-0.6795027,0.6259992,0.007785939,0.02507591,0.02399528,0.03556959,-0.2249941,0.06999713,0.05379497,0.9703526,27.97302,-0.9309072,0.2896113,0.2225752
On Target,1772953345273,14.8742,1,1,-0.09286273,1.094223,0.2830186,1.13404,-0.4571549,-0.8098457,0.06892547,0.3611214,137.6618,-0.4902367,-0.8684498,0.07391322,0.125465,-0.06962118,0.03260933,0.147146,0.3613438,0.4340277,-0.2255677,0.7938325,74.90977,0.594182,0.713701,-0.3709161,0.006482576,-0.2824586,-0.4702205,0.5485729,0.1850848,-0.4687024,0.6527894,-0.5656217,248.8909,0.2244363,-0.568355,0.7915813,-0.007137269,0.005777478,0.01698136,0.01930509,-0.006039203,0.02717257,-0.03980433,0.9988198,5.568073,-0.1243358,0.559432,-0.819496
Trial End,1772953346259,15.86067,1,1,-0.1005037,1.102456,0.2885898,1.144025,-0.4392981,-0.8118116,0.07692651,0.3769105,135.7151,-0.4742761,-0.8764501,0.08305159,0.1260943,-0.07079158,0.03137218,0.147971,0.3819421,0.4136036,-0.2543676,0.7863522,76.3082,0.6182506,0.6695011,-0.4117454,0.02925855,-0.2871394,-0.4703925,0.5518824,0.1171578,-0.4307092,0.6851878,-0.5755706,250.2792,0.1432681,-0.5266989,0.8378917,0.0005037263,-0.002455711,0.01141018,0.01168231,-0.01449272,0.0104064,-0.05663105,0.9982358,6.807736,-0.2440925,0.175269,-0.9538042
Trial Load,1772953352857,0,2,1,0.1,1.1,0.3,1.144552,0,0,0,1,0,1,0,0,0.1166641,0.1240351,0.07928421,0.1878329,0.6641302,0.7120054,-0.02738959,-0.226339,206.1633,0.6818245,0.7309753,-0.02811933,0.03923963,-0.162013,-0.6270442,0.6488239,-0.7318985,-0.3201021,0.586532,0.1335644,164.6488,-0.7385155,-0.3229961,0.5918347,-0.2,0,0,0.2,0.06333741,-0.529067,0.7547384,0.3826834,135,0.06855591,-0.572658,0.816923
On Target,1772953364301,11.43732,2,1,-0.1060078,1.09929,0.2862499,1.140884,0.02317237,-0.4992001,0.8003253,0.331273,141.3079,0.0245591,-0.5290743,0.8482201,0.1166641,0.1240351,0.07928421,0.1878329,0.6641302,0.7120054,-0.02738959,-0.226339,206.1633,0.6818245,0.7309753,-0.02811933,0.03923963,-0.162013,-0.6270442,0.6488239,-0.7318985,-0.3201021,0.586532,0.1335644,164.6488,-0.7385155,-0.3229961,0.5918347,0.006007768,0.0007095337,0.01375011,0.01502206,0.05877454,0.04897144,-0.03688847,0.9963869,9.744206,0.6920201,0.576597,-0.4343304
Off Target,1772953366758,13.89512,2,1,-0.1028589,1.099989,0.295975,1.143747,-0.009979455,-0.5659416,0.743979,0.3551136,138.3992,-0.01067523,-0.6053997,0.79585,0.1166641,0.1240351,0.07928421,0.1878329,0.6641302,0.7120054,-0.02738959,-0.226339,206.1633,0.6818245,0.7309753,-0.02811933,0.03923963,-0.162013,-0.6270442,0.6488239,-0.7318985,-0.3201021,0.586532,0.1335644,164.6488,-0.7385155,-0.3229961,0.5918347,0.0028589,1.120567E-05,0.004024982,0.004936995,-0.007212186,0.08335117,0.02443452,0.9961946,10.00013,-0.08274952,0.9563355,0.2803511
