Event Name,Timestamp,Trial Duration,Trial Num,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Off Target,1772879594407,18.98604,1,0.09784435,1.103325,0.2805231,1.142626,-0.2089419,-0.8879938,0.06881119,-0.4038257,227.6351,-0.2283928,-0.9706592,0.07521699,0.1133206,-0.05107949,0.03422715,0.128927,-0.55819,-0.4538043,-0.2440719,0.6503189,98.86872,-0.7347878,-0.597377,-0.3212903,-0.08982215,-0.4457205,-0.3311378,0.562483,0.807106,-0.02477924,-0.2383504,-0.5395879,245.3112,0.9586387,-0.0294315,-0.2831002,0.002155647,-0.003325343,0.01947692,0.01987599,-0.01397803,-0.01148522,0.09118252,-0.9956698,349.3322,-0.1503663,-0.1235503,0.9808804
On Target,1772879594796,19.3748,1,0.0965139,1.100021,0.2896586,1.141605,-0.2313546,-0.862708,0.1251281,-0.4319178,231.1786,-0.2565154,-0.9565313,0.1387363,0.1115577,-0.05090069,0.0342885,0.1273252,-0.5502072,-0.4841243,-0.2485907,0.6333233,101.4085,-0.7109655,-0.6255746,-0.3212234,-0.08276839,-0.4530947,-0.3230796,0.5626063,0.7600247,0.01604003,-0.2526285,-0.5985683,253.5349,0.9487599,0.02002322,-0.3153631,0.003486104,-2.086163E-05,0.01034138,0.01091318,-0.06510143,-0.0312084,0.04536359,-0.9963584,350.2176,-0.7635263,-0.3660201,0.5320358
Off Target,1772879595046,19.62458,1,0.09953433,1.101945,0.292343,1.144401,-0.3010925,-0.8317466,0.08057864,-0.4593997,234.6967,-0.3389805,-0.9364094,0.09071825,0.1115635,-0.05056052,0.03685696,0.127911,-0.5933258,-0.4525007,-0.2099291,0.6317733,101.6379,-0.7654303,-0.5837564,-0.2708228,-0.08259492,-0.4484175,-0.3307711,0.5633025,0.7536482,-0.05588385,-0.3251927,-0.568455,249.2851,0.916051,-0.06792621,-0.3952681,0.0004656762,-0.0019449,0.007657021,0.007913878,-0.01065202,-0.08672415,-0.004787372,-0.996164,349.9597,-0.1217286,-0.9910621,-0.0547089
On Target,1772879595060,19.63929,1,0.0996125,1.102005,0.2924072,1.144483,-0.2973381,-0.8330511,0.08272154,-0.4591004,234.6581,-0.3346953,-0.9377146,0.09311458,0.1107998,-0.05100576,0.03691954,0.1274411,-0.5977772,-0.4577228,-0.2250137,0.618483,103.5891,-0.760726,-0.582494,-0.2863505,-0.08262699,-0.4484633,-0.3301721,0.5629921,0.7628323,-0.04060032,-0.3210246,-0.5598052,248.0847,0.920601,-0.04899726,-0.3874187,0.0003875047,-0.002005339,0.007592767,0.007862675,-0.0137423,-0.08497676,-0.001983652,-0.9962862,350.121,-0.1596022,-0.9869146,-0.02303801
Off Target,1772879595185,19.7641,1,0.1001288,1.101842,0.2936927,1.144699,-0.3052033,-0.8315043,0.07344237,-0.4583206,234.5576,-0.3433931,-0.9355496,0.08263214,0.1109172,-0.05060749,0.03658219,0.127287,-0.5937283,-0.4600208,-0.2364503,0.6164082,103.8914,-0.7540107,-0.5842075,-0.3002822,-0.08175653,-0.4496855,-0.3305137,0.5640394,0.7660047,-0.04002531,-0.3199286,-0.5561299,247.5771,0.9216807,-0.04815971,-0.3849481,-0.0001287907,-0.001841784,0.006307334,0.006572002,-0.002571355,-0.08836624,-0.005809768,-0.9960678,349.8346,-0.029024,-0.9974279,-0.06557736
On Target,1772879595420,20.00117,1,0.09956297,1.101845,0.2958493,1.145208,-0.3126829,-0.831538,0.0707896,-0.4536111,233.9512,-0.3508562,-0.9330546,0.0794318,0.1106803,-0.05054122,0.03643977,0.1270134,-0.5937566,-0.4548006,-0.2379994,0.6196498,103.4189,-0.756495,-0.5794536,-0.3032309,-0.08121617,-0.4509102,-0.3303628,0.5648502,0.7664363,-0.05091519,-0.324185,-0.5521658,247.0314,0.9192812,-0.06106884,-0.3888349,0.0004370287,-0.001844645,0.004150718,0.004563132,0.003987849,-0.08574537,-0.01174606,-0.99624,350.0595,0.04602871,-0.9896938,-0.1355758
Trial End,1772879596408,20.98629,1,0.1010324,1.102589,0.2956205,1.145994,-0.3437091,-0.8344122,0.09067567,-0.4211867,229.8191,-0.3789625,-0.9199958,0.09997606,0.1108274,-0.04917847,0.03553452,0.1263485,-0.5747365,-0.4502846,-0.2222347,0.6461684,99.49334,-0.7530665,-0.5899994,-0.2911899,-0.07529561,-0.4503632,-0.3287352,0.5626395,0.7535365,-0.07370619,-0.3073773,-0.5764281,250.3994,0.9221544,-0.09019934,-0.3761587,-0.001032442,-0.002588987,0.004379481,0.005191208,0.008348531,-0.05352742,-0.04861666,-0.9973472,351.6515,0.1146935,-0.7353684,-0.6679035
Trial Load,1772879596409,20.98629,2,-0.1,1.1,0.3,1.144552,0,0,0,1,0,1,0,0,0.1108274,-0.04917847,0.03553452,0.1263485,-0.5747365,-0.4502846,-0.2222347,0.6461684,99.49334,-0.7530665,-0.5899994,-0.2911899,-0.07529561,-0.4503632,-0.3287352,0.5626395,0.7535365,-0.07370619,-0.3073773,-0.5764281,250.3994,0.9221544,-0.09019934,-0.3761587,0.2,0,0,0.2,-0.5872463,0.4971038,-0.5114518,0.3826834,135,-0.6356308,0.5380613,-0.5535915
Release,1772879596420,20.98629,2,-0.1,1.1,0.3,1.144552,0,0,0,1,0,1,0,0,0.08759219,-0.1866171,0.1807456,0.2741666,0.6886839,0.602603,-0.2958378,0.2739786,148.1977,0.7160842,0.6265785,-0.3076082,0.09777258,-0.5090484,-0.2450566,0.5733607,-0.2496826,-0.4827547,0.8390415,0.02481785,177.1558,-0.2497595,-0.4829035,0.8393,0.2,0,0,0.2,-0.5872463,0.4971038,-0.5114518,0.3826834,135,-0.6356308,0.5380613,-0.5535915
Trial Start,1772879600406,0,2,-0.1035632,1.094721,0.3006107,1.139959,-0.0006605402,-0.06196059,-0.01090076,0.9980189,7.214344,-0.01049887,-0.9848242,-0.1732606,0.08759219,-0.1866171,0.1807456,0.2741666,0.6886839,0.602603,-0.2958378,0.2739786,148.1977,0.7160842,0.6265785,-0.3076082,0.09777258,-0.5090484,-0.2450566,0.5733607,-0.2496826,-0.4827547,0.8390415,0.02481785,177.1558,-0.2497595,-0.4829035,0.8393,0.2035632,0.005279064,-0.0006106496,0.2036326,-0.5487214,0.5258939,-0.5429815,0.3570876,138.1571,-0.5874516,0.5630128,-0.5813065
